Last Name,First Name,Research on the nature and impact of bank runs has made it possible to limit the occurrence of financial crises and the economic damage they cause.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Despite repeated reforms of financial regulation (and macroprudential policies in some countries), there will always be occasional financial crises.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,I think the research on financial crises has helped us understand them better and has lead to better policies.,Agree,5,It's very difficult to understand all the possible ways in which crises can occur.  The Liability-Driven Investment strategies are an example. It seems few people realised the potential for systemic risk.
Antras,Pol,Agree,8,,Agree,8,
Bénassy-Quéré,Agnès,Agree,8,,Strongly Agree,10,Risks have moved away from regulated banks + macroprudential policy is more about limiting the impact of crises than about limiting crises themselves.
Blanchard,Olivier,Agree,7,,Agree,7,
Bloom,Nicholas,Agree,5,,Agree,7,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Strongly Agree,9,,Strongly Agree,9,
Carletti,Elena,Strongly Agree,10,,Agree,10,
Danthine,Jean-Pierre,Agree,8,,Agree,8,
De Grauwe,Paul,Agree,6,,Agree,7,
Eeckhout,Jan,Agree,7,,Uncertain,6,
Fehr,Ernst,Agree,8,,Agree,6,
Freixas,Xavier,Strongly Agree,10,Better prudential and macroprudential regulation,Strongly Agree,10,Bubbles and credit booms will continue to fuel the appetite for risk of economic agents
Fuchs-Schündeln,Nicola,Agree,9,,Agree,7,
Galí,Jordi,No Opinion,,,Agree,6,
Gorodnichenko,Yuriy,Strongly Agree,9,,Strongly Agree,9,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Strongly Agree,8,,Strongly Agree,7,
Guriev,Sergei,Strongly Agree,8,,Agree,7,
Honohan,Patrick,Disagree,10,"Well, maybe it has helped a little, but complex and opaque investment strategies and financial instruments mean that the practical usefulness of the sunspot bank run models is limited. Explaining each new crisis seems to require new models, usually developed only ex post.",Agree,10,
Javorcik,Beata,Agree,8,,Agree,8,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,7,"Fundamental research such as Diamond/Dybvig's has trained the thinking of the entire profession, and in that sense it has contributed to a post-crisis regulation such as the BRRD in Europe, emphasizing equity and bail-in debt to establish market discipline, and to fight runs.. ",Strongly Agree,8,"Financial crises don't repeat themselves - because there is learning on the side of both, regulators and investors. But there are also --always-- unknown interdependencies in markets and between institutions, unexpectedly coming to light, and potentially triggering a crisis. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,8,,Agree,7,"Foolproof financial regulation is likely not feasible and/or too costly (i.e., more costly than the crises it prevents). "
Mayer,Thierry,Strongly Agree,8,,Agree,4,
Meghir,Costas,Strongly Agree,9,,Strongly Agree,9,
Pagano,Marco,Agree,8,,Agree,8,
Pastor,Lubos,Strongly Agree,9,"Some of the policy lessons include the importance of deposit insurance and the lender of last resort, not only for banks but also for other fragile financial institutions. ",Strongly Agree,9,Redesigning the financial system to eliminate future crises would likely be too costly for society in the long run.
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,Better understanding and use of LoLR and MMoLR. Greater resilience in banking sector. But still major weaknesses in derivatives exposures and hidden leverage in non-bank financial intermediation.,Strongly Agree,10,Finance - indeed capitalism - is about taking risks. Some will go bad. Sometimes those failures will be correlated and contagious. Good regulation can increase resilience but can’t avert all crises.
Prendergast,Canice,Agree,8,,Agree,9,
Propper,Carol,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Agree,9,,Agree,8,
Reis,Ricardo,Strongly Agree,8,,Strongly Agree,8,"We can prevent some run-ups, reduce the collapses, and boost the recoveries, but the state of our knowledge is quite far from eliminating them entirely. "
Repullo,Rafael,Agree,10,,Agree,10,
Rey,Hélène,Agree,9,,Strongly Agree,9,
Schoar,Antoinette,Agree,7,,Agree,8,
Storesletten,Kjetil,Agree,5,,Strongly Agree,6,
Sturm,Daniel,Strongly Agree,8,,Agree,8,
Van der Ploeg,Rick,Agree,6,"The Diamond-Dybvig framework has increased our understanding of bank runs long before the global financial crisis. Also, what can be done to lower risk of runs (e.g., sufficient reserves) is well known.",Agree,6,"One can at most curb the risk of bank runs. However, to bring down risk to almost zero would be ""too"" prudent and would make it more difficult to keep the economy going. There is thus a trade-off where one wants to bring down risk of bank runs but not by too much."
Van Reenen,John,Uncertain,3,,Strongly Agree,6,lobbying efforts by banks (and short memories of voters) mean policymakers will tend to unwind the necessary regulation
Vickers,John,Agree,9,Yes but whether policy since 2008 has gone far enough to limit the occurrence and consequences of crises is another matter,Agree,9,Future crises are inevitable but they would be less probable and less damaging if post-2008 reforms had gone further
Voth,Hans-Joachim,Agree,7,,Agree,8,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,8,Many key regulations - such as capital requirements or leverage limits - are derived from the theoretical and empirical literature on bank runs.,Strongly Agree,8,"Financial markets exhibit multiple equilibria driven by expectations. When expectations shift, a new equilibrium emerges, and that could be a crisis equilibrium."
