Last Name,First Name,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Agree,8,"In the absence of inside information, on average a diversified strategy should do better unless the person has good judgment."
Antras,Pol,Strongly Agree,9,Unless the investor is a risk lover
Bénassy-Quéré,Agnès,Strongly Agree,9,
Baldwin,Richard,Did Not Answer,,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,9,This is a no brainer.  The only qualification is that the diversified portfolio may not be exactly the market portfolio. 
Bloom,Nicholas,Agree,8,"This is the prediction of our basic ""no free lunch principle"". All my savings are in index tracker, so i am living this view!"
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Agree,8,
Danthine,Jean-Pierre,Strongly Agree,10,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Strongly Agree,10,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,8,
Galí,Jordi,Agree,8,"I agree with the statement as ""doing better"" is interpreted to mean
enjoying a higher average return for any given level of risk."
Garicano,Luis,Strongly Agree,10,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,Agree,8,
Guerrieri,Veronica,Strongly Agree,8,
Guiso,Luigi,Strongly Agree,8," for a typical  investor I strongly believe a passive, cheap  index is better than a passive portfolio of  a few stocks      "
Hellwig,Martin,Agree,10,The empirical evidence is overwhelming. 
Honohan,Patrick,Strongly Agree,10,"""Do better""understood to capture risk as well as expected return, of course."
Kőszegi,Botond,Strongly Agree,9,
Kleven,Henrik,Strongly Agree,7,
Krahnen,Jan Pieter,Strongly Agree,8,"A quant hedge fund may extract extra return by big data strategies, but an average guy, like myself, will likely fail with stock-picking."
Krusell,Per,Strongly Agree,9,I don't know of any convincing systematic evidence to the contrary. 
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Strongly Agree,9,"Lots of evidence. Few people consistently earn risk-adj. ret > index ret. And even then, much might be compensation for time & effort."
Meghir,Costas,Strongly Agree,10,
Neary,Peter,Strongly Agree,8,A small industry exists to help naive investors beat the market. It should be subject to mandatory health warnings.
O'Rourke,Kevin,Agree,7,
Pagano,Marco,Strongly Agree,10,A no-brainer.
Pastor,Lubos,Strongly Agree,10,"I interpret ""do better"" in terms of a better risk-return tradeoff. Why take unnecessary idiosyncratic risk."
Persson,Torsten,Agree,6,
Pissarides,Christopher,Strongly Agree,10,Even if you get it right some of the time eventually you will get it wrong 
Portes,Richard,Agree,6,
Prendergast,Canice,Strongly Agree,9,
Reichlin,Lucrezia,Agree,6,
Repullo,Rafael,Strongly Agree,10,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Strongly Agree,9,
Van Reenen,John,Strongly Agree,7,
Vickers,John,Agree,6,Assuming a degree of risk aversion.  However some investors might rationally want some exposure to assets not available passively.
Voth,Hans-Joachim,Strongly Agree,9,"Just look at the long-term Warren Buffett bet against managed funds -- whenever there is outperformance, fees eat them up"
Weder di Mauro,Beatrice,Agree,5,
Whelan,Karl,Strongly Agree,10,
Wyplosz,Charles,Strongly Agree,9,
Zilibotti,Fabrizio,Agree,9,
