Last Name,First Name,"By enabling women’s life choices about education, work and family, the contraceptive pill made a substantial contribution to closing gender gaps in the labor market for professionals.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Gender gaps in today’s labor market arise less from differences in educational and occupational choices than from the differential career impact of parenthood and social norms around men's and women’s roles in childrearing.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The gender gap in pay would be substantially reduced if firms had fewer incentives to offer disproportionate rewards to individuals who work long and/or inflexible hours.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,2,,Uncertain,3,Evidence by Kleven and co. on effects of childrearing on women's careers is solid. Educational gaps have closed. But there are major occupational gaps that account for significant gender wage differences. How much of this is discrimination or socially determined is still unknown.,Uncertain,3,"There is solid evidence that flexibility and options to have regular hours for mothers helps with women's careers (see link). But I'm not aware of conclusive evidence on  the effects of  ""disproportionate rewards for long work hours""."
Altonji,Joseph,Strongly Agree,8,"Claudia Goldin, Larry Katz ""Power of the Pill"" paper and subsequent work has established this.",Agree,6,"I have agree overall, but choice of college major and graduate degree field, as well occupation conditional on field of study continue to play a substantial role in the gender gap among college graduates.",Agree,7,"Research by Claudia Goldin and others has established that long hours are highly rewarded by employers, especially in professional labor markets."
Auerbach,Alan,Agree,7,,Agree,7,,Uncertain,3,
Autor,David,Agree,8,"It changed the structure of women's work. It did not lift the burden of career versus family, which still falls much more heavily on women. ",Agree,6,"This statement is largely true for college-educated women. I don't think it's true for non-college women, who still face much more overt discrimination (not that college-educated women don't as well, but probably less).",Agree,8,"This appears to be a hard problem to solve, and it's not clear to what degree it's technological (i.e., in the nature of production) versus cultural (we've always done it this way, or we simply choose to do it this way). I strongly suspect that the answer is some of both."
Banerjee,Abhijit,Agree,6,,Agree,6,,Agree,4,
Bertrand,Marianne,Strongly Agree,9,,Strongly Agree,10,,Strongly Agree,9,
Brunnermeier,Markus,Agree,7,,Agree,8,,Agree,4,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Strongly Agree,9,,Agree,7,Career choices also play an important role. ,Agree,7,
Cutler,David,Strongly Agree,7,,Strongly Agree,7,,Strongly Agree,6,
Deaton,Angus,Agree,8,"""Professionals"" is important here. Many less educated women were made worse off by losing bargaining power with possible partners because of increased sexual opportunities for men that the pill provided. See p 169 of Case & Deaton ""Deaths of despair"" and Cherlin and McLanahan",Agree,7,"See previous links. Very different across social classes, but true in both",Agree,6,
Duffie,Darrell,Agree,1,,Agree,1,,Agree,1,
Edlin,Aaron,Agree,6,,Agree,3,,Agree,6,
Eichengreen,Barry,Strongly Agree,5,,Strongly Agree,5,,Strongly Agree,5,
Einav,Liran,Agree,1,,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Agree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Strongly Agree,10,,Agree,9,,Agree,6,"Two caveats: (1) True for high-income countries, less clear in other settings. (2) Not clear we want everyone to work shorter hours (unless we manage to expand the labore force)"
Greenstone,Michael,Agree,7,,Agree,7,,Agree,6,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Agree,7,,Agree,7,,Agree,7,
Holmström,Bengt,Agree,6,,Agree,4,"This is based on my own onservations, not empirical studies",Uncertain,4,
Hoxby,Caroline,Agree,8,,Agree,6,,Agree,5,
Hoynes,Hilary,Strongly Agree,8,,Agree,7,,Uncertain,5,
Judd,Kenneth,Agree,7,,Agree,5,,Agree,6,
Kaplan,Steven,Agree,2,,Uncertain,2,,Uncertain,2,
Kashyap,Anil,Agree,3,,Strongly Agree,7,,Agree,2,
Klenow,Pete,Strongly Agree,3,,Uncertain,3,,Uncertain,3,
Levin,Jonathan,Strongly Agree,5,,Agree,5,,Agree,4,
Maskin,Eric,Agree,7,,Agree,7,,Agree,7,
Nordhaus,William,Strongly Agree,7,,Agree,5,,Uncertain,3,
Obstfeld,Maurice,Strongly Agree,7,More confident because of Claudia's work.,Strongly Agree,7,,Strongly Agree,4,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Agree,6,"Many other changes occurred at the same time, so it is difficult to pick out individual developments as particularly important, but contraception appears to have been played a role.",Uncertain,1,"The differential career impacts of family and children play a role within occupational categories, but differences in occupational choices also play a role.",Agree,6,"Working requirements appear to play a role in occupational choice, contributing to the gender gap."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,7,,Agree,4,,Strongly Agree,7,
Shapiro,Carl,Strongly Agree,8,,Agree,4,,Agree,4,
Shimer,Robert,Agree,8,,Uncertain,5,Parenthood and social norms still cause differences in occupational choice ,Agree,6,"These rewards are efficient, however, and so policies to discourage them would be costly "
Stock,James,Agree,4,,Agree,4,,Agree,6,
Thaler,Richard,Strongly Agree,5,,Agree,5,"Yes, but the two things are intertwined. Certainly true within occupation. ",Agree,5,"Yes but I think there is a substantial market failure that leaves many talented women out of the labor force because the market has not devised suitable employment options. Why should pharmacists be the only jobs that can offer predictable work patterns? Money on the table!
"
Udry,Christopher,Strongly Agree,8,,Agree,7,,Agree,5,The evidence on this is more mixed than it is on the first two.
