Last Name,First Name,"The European Commission has proposed new rules to ensure that “digital business activities are taxed in a fair and growth-friendly way in the EU”. Consider two statements regarding this proposal:

 
An EU-wide 3% tax on revenue from digital activities would, on balance, be a good idea.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If the EU decides to tax digital service providers, it would be better — given the difficulties of measuring and verifying digital activity — to tax them on the revenue, rather than the profits, that they generate locally.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,6,The digital companies need to be taxed.  This seems the best way to do it that I have heard.,Agree,7,Profits are fairly meaningless for these companies since they can use accounting charges to move the profits to very low tax rate places. 
Antras,Pol,Agree,7,But I'm not sure whether 3% is close to optimal tax,Uncertain,5,I don't fully understand. Is the idea that costs are harder to verify than revenue for this activity? Or is it motivated by profit shifting?
Bénassy-Quéré,Agnès,Agree,8,"Probably not the first best, but a witholding tax could help restoring fair competition.",Uncertain,5,Profit is even more difficult to localize than revenue.
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,5,,Agree,5,"The issue  (both legal, and technical)  is whether it can be done for digital companies and not for others.  "
Bloom,Nicholas,Uncertain,1,,Uncertain,1,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Agree,5,,Agree,4,
Danthine,Jean-Pierre,Agree,9,,Agree,9,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Uncertain,1,,Uncertain,1,
Fehr,Ernst,Agree,5,,Agree,7,
Freixas,Xavier,Strongly Agree,8,"Low elasticity of the supply and demand,  so low welfare loss ",Strongly Agree,8,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,No Opinion,,,Agree,7,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Agree,5,,Disagree,5,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Uncertain,4,,Uncertain,4,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Agree,5,"A not unreasonable temporary stop-gap to meet a dysfunctional current situation. Distributional consequences between member states, though.",Agree,3,Corporate taxation is so complex that unintended consequences abound. I would rather say tax on revenue as well as on profits.
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,7,"A ""fair"" digital tax should allocate the tax base (profits) virtually among producer and consumer countries; a 3% tax may start negotiations",Uncertain,5,"Yes, but profit taxation requires negotiations between countries to share the tax base (unlikely to work in todays protectionist world) "
Krusell,Per,Disagree,5,I simply don’t understand the motivation. ,No Opinion,,"It depends on the motivation behind the tax, which I don’t understand. "
La Ferrara,Eliana,Agree,4,,Agree,1,
Leuz,Christian,Uncertain,4,"Good idea to put the topic on agenda, but costs and benefits are quite uncertain at this point. Revenue generated is small given exemptions",Agree,3,"I agree local profits for digital are very difficult to determine, easy to shift & taxing consumption could make sense. But much uncertain."
Meghir,Costas,Disagree,6,,Uncertain,4,
Neary,Peter,Agree,2,,Uncertain,2,
O'Rourke,Kevin,Uncertain,5,Why 3%? Important not to be perceived as targeting US firms specifically. But something has to be done.,Agree,5,If we are honest most of the profits are generated in the US and that may be the main rationale for an EU revenue tax.
Pagano,Marco,No Opinion,,,No Opinion,,
Pastor,Lubos,No Opinion,,,No Opinion,,
Persson,Torsten,No Opinion,,,No Opinion,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,5,,Strongly Agree,5,
Prendergast,Canice,Agree,6,,Agree,9,
Reichlin,Lucrezia,Uncertain,2,,Uncertain,2,
Repullo,Rafael,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Disagree,7,The proposed tax is on revenues not profits. profit margins differ across firms; and even some large startups do not have profits,Strongly Disagree,8,"entry of new (not yet profitable) firms gets more difficult, they also have to pay revenue tax. Profit margins differ across revenue streams"
Van Reenen,John,Strongly Disagree,7,There needs to be a good rationale for further distorting tax system in this way and if don’t see it. ,Agree,6,
Vickers,John,Uncertain,3,,Uncertain,3,
Voth,Hans-Joachim,Uncertain,10,,Agree,6,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Uncertain,5,Generally best to tax profits or value added and not revenue. Hard to know why 3% would be the right figure. ,Disagree,7,
Wyplosz,Charles,No Opinion,,,No Opinion,,
Zilibotti,Fabrizio,No Opinion,,,No Opinion,,
