Last Name,First Name,"Europeans would benefit more from an extra €1 billion of public R&D spent through existing (public) channels than from an extra €1 billion of private R&D spent through existing (private) channels, all else equal.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Europeans would benefit more from an extra €1 billion of public medical research spent through existing (public) channels than from an extra €1 billion of private medical research spent through existing (private) channels, all else equal.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,It depends significantly on the country and what exactly the money would be spent on in both public and private cases.,Agree,6,Private research tends to spent on rich world lifestyle medical problems while public research can focus on deadly diseases like TB.   
Antras,Pol,Uncertain,4,,Uncertain,4,
Bénassy-Quéré,Agnès,Agree,7,,Agree,7,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,No Opinion,,,No Opinion,,
Bloom,Nicholas,Agree,10,,Strongly Agree,10,
Blundell,Richard William,Agree,4,,Agree,3,
Carletti,Elena,Uncertain,3,,Uncertain,3,
Danthine,Jean-Pierre,Uncertain,2,,Uncertain,2,Stronger public regulation (e.g. on pricing and accounting transparency) with private investment may be a better combination
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Uncertain,6,,Uncertain,6,
Fehr,Ernst,Uncertain,3,,Uncertain,3,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,3,,Uncertain,3,
Galí,Jordi,Agree,7,,Strongly Agree,5,
Giavazzi,Francesco,Disagree,7,,Agree,5,
Griffith,Rachel,Strongly Agree,10,,Strongly Agree,10,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Disagree,8,efficiency of public spending in R&D is doubtful ,Agree,7,fundamental medical research in probably better curried out at public centers 
Honohan,Patrick,No Opinion,,,No Opinion,,
Javorcik,Beata,Agree,7,,Agree,8,
Kőszegi,Botond,Agree,3,,Agree,4,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,6,"I believe in the direct plus indirect benefit of basic research, which is more likely to be public rather than private R&D. ",Agree,6,"Public R&D may have positive second round effects in the form of private R&D, whereas the opposite is less likely to happen."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,4,"Key Q: Is public RD complement or substitute? Evidence weakly favors former, esp @ higher aggregation & more general invstm. Not conclusive.",Uncertain,4,"Again, evidence tends to favor complementarity, but difficult to measure. Complementarity appears stronger for basic research."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,4,In principle publicly funding R&D can respond better to social priorities and internalize spillovers. Doing so in practice is a challenge,Agree,4,"The same superiority in principle, and problems of implementation in practive, arise as for (A)"
O'Rourke,Kevin,Uncertain,10,,Uncertain,10,
Pagano,Marco,Agree,4,,Agree,3,
Pastor,Lubos,Uncertain,2,,Uncertain,2,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Uncertain,1,,Uncertain,1,
Portes,Richard,Agree,5,,Strongly Agree,6,
Prendergast,Canice,Agree,6,,Agree,6,
Reichlin,Lucrezia,Agree,6,,Agree,5,
Repullo,Rafael,Strongly Agree,6,,Agree,6,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,6,,Uncertain,5,
Sturm,Daniel,No Opinion,,,No Opinion,,
Van Reenen,John,Agree,6,,Agree,6,
Vickers,John,Uncertain,4,"Public R&D might well be better directed but if near optimal to start with, private R&D externalities could do more good at the margin ",Uncertain,4,
Voth,Hans-Joachim,Agree,8,,Agree,8,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Agree,4,Not an easy question. Private R&D more likely to spent in zero-sum competitions for market share and establishing dominant market positions.,Agree,4,"Similarly, much of the benefit of private medical R&D goes to profits made by drug producers."
Wyplosz,Charles,Uncertain,4,"It depends on what public ""investment"" consists of, even with negative interest rates",Uncertain,3,I have no idea of the ROI of each channel
Zilibotti,Fabrizio,Disagree,3,,Agree,3,
