Last Name,First Name,The recent oversubscribed debt issues of Greece and Portugal suggest that sovereign default by any euro area country is unlikely in the foreseeable future.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,
Alesina,Alberto,Agree,8,
Altonji,Joseph,Agree,8,
Auerbach,Alan,Disagree,5,
Autor,David,Agree,4,
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Disagree,6,These are small countries. Its not too likely but not impossible that a bigger country will hit some political shocks. Then all bets are off
Bertrand,Marianne,Uncertain,1,
Brunnermeier,Markus,Disagree,4,Uncertainties in emerging markets helped European bond issuancesy. Many unforeseen events can can easily worsen the current situation. 
Chetty,Raj,No Opinion,,
Chevalier,Judith,Agree,2,
Currie,Janet,Uncertain,5,
Cutler,David,Agree,4,
Deaton,Angus,Agree,6,
Duffie,Darrell,Disagree,9,There is increased demand for many sorts of weak debt. Peripheral EUR sovereigns are in the long run still exposed to structural weaknesses.
Edlin,Aaron,Agree,6,
Eichengreen,Barry,Disagree,9,
Einav,Liran,No Opinion,,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,
Goolsbee,Austan,Uncertain,9,
Greenstone,Michael,Agree,4,
Hall,Robert,Agree,7,"The ECB seems to have organized a good equilibrium--see the paper by Krishnamurthy, Nagel, and Vissing-Jorgensen "
Hart,Oliver,Disagree,8,"These econonomies still in bad shape. Bond yields high, but Investors may be exuberant and overestimating chance of future bailouts. "
Holmström,Bengt,Strongly Agree,6,
Hoxby,Caroline,Agree,8,
Hoynes,Hilary,Agree,8,
Judd,Kenneth,Agree,6,
Kaplan,Steven,Did Not Answer,,
Kashyap,Anil,Strongly Disagree,7,Greece's debt is still unsustainable & Europe's banks are undercapitalized.  Until that changes risks remain. 
Klenow,Pete,Agree,3,"Sovereign bond yields and credit default spreads imply that default is a nontrivial possibility, but the more likely outcome is no default."
Levin,Jonathan,Uncertain,2,
Maskin,Eric,Agree,7,
Nordhaus,William,Uncertain,6,"Reduced from 2-3 years ago, but  still a fragile system."
Obstfeld,Maurice,Disagree,8,Markets may believe default unlikely over the term of the bonds. That does not mean it is unlikely forever: Greek debt is still huge.  
Saez,Emmanuel,Uncertain,3,
Samuelson,Larry,Agree,6,"Default looks less likely, but structural problems in the euro zone remain, and much has yet to transpire before default is truly unlikely. "
Scheinkman,José,Agree,8,Low rates also reflect expectations of an ECB QE.
Schmalensee,Richard,Disagree,3,"Not my field, but this seems to be basing a strong conclusion on a weak evidentiary foundation."
Shapiro,Carl,Agree,3,Encouraging but I am wary of generalizing to all Euro area countries.
Shimer,Robert,Uncertain,5,"It's hard to argue that markets are mis-pricing Euro area bonds, but I'm surprised by how strongly the price has recovered"
Stokey,Nancy,Agree,3,The ECB seems committed to averting defaults.
Thaler,Richard,Uncertain,1,I thought we had learned the lesson that low interest rates do not assure low risk.
Udry,Christopher,No Opinion,,
