Last Name,First Name,Taxes or bans on large bottles of soft drinks containing sugar are not likely to have a significant effect on obesity rates because people will substitute towards consuming excessive calories in other ways.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,1,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Uncertain,3,
Auerbach,Alan,Uncertain,3,
Autor,David,Uncertain,5,"Unlikely to have an impact, but worth evaluating!"
Baicker,Katherine,Agree,6,Also might not reduce obesity for other reasons - but not the only metric on which to evaluate the policy
Bertrand,Marianne,Agree,4,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,8,How much substitution not clear. Closest extant empirical evidence relates to soft drink taxes.
Currie,Janet,Disagree,8,"Sugary drinks are subsidized by U.S. farm policy and are an important factor in overweight among children, leading to overweight adults. "
Cutler,David,Disagree,7,Literature suggests otherwise. 
Deaton,Angus,Uncertain,5,This is surely something that is worth studying empirically. I can think of good arguments on both sides and have no idea what would happen.
Duffie,Darrell,No Opinion,,I don't have the necessary knowledge to handle this one. 
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,5,
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Uncertain,5,
Goldin,Claudia,Disagree,3,
Goolsbee,Austan,Disagree,7,
Greenstone,Michael,Agree,7,Michael Anderson has done research partially related to this that shows that people are able to substitute across sources of calories easily
Hall,Robert,Did Not Answer,,
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,9,
Kashyap,Anil,Agree,3,
Klenow,Pete,Agree,3,"Probably.  Though proximity to fast food restaurants seems to matter, as if substitutability is limited."
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Agree,5,Seems unlikely this one change on its own would *significantly* reduce obesity. 
Maskin,Eric,No Opinion,,
Nordhaus,William,Did Not Answer,,
Obstfeld,Maurice,Agree,4,
Saez,Emmanuel,Disagree,3,
Scheinkman,José,Disagree,5,
Schmalensee,Richard,Agree,4,
Shin,Hyun Song,Uncertain,6,
Stokey,Nancy,Uncertain,1,Is there any empirical work on this issue?  
Thaler,Richard,Disagree,7,Bad question. Taxes unlikely to work if low but big cigarette takes reduce consumption and peoplle don't substitute other smoke!
Udry,Christopher,Disagree,5,"There will be substitution & I don't like the paternalism, but there is growing evidence that such nudges can be effective."
Zingales,Luigi,Disagree,2,This is a question a psychologist is better at answering. Are people aware of all the calories they assume? I do not think so. 
