Last Name,First Name,Policies that aim to reduce obesity by increasing incentives for physical activity would be more welfare-improving than policies that increase the financial costs of consuming calories.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"A ban on advertising junk foods (those that are high in sugar, salt and fat) would be an effective policy to reduce child obesity.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Setting targets for schools to reduce obesity (e.g. by diverting financial resources to improve scho,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,
Allen,Franklin,Uncertain,3,It seems to me both are desirable.,Agree,3,It's not clear how effective it would be but it's worth a try.,Uncertain,4,It's not clear to me that healthy food is more expensive than unhealthy food. Also are cookery classes more expensive than other classes?,,,,,,,,
Antras,Pol,Agree,6,,Disagree,5,A ban seems like an extreme regulation,Agree,5,,,,,,,,,
Bandiera,Oriana,Strongly Disagree,8,,Uncertain,5,,Disagree,8,,,,,,,,,
Blanchard,Olivier,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,
Bloom,Nicholas,Uncertain,8,Improving diet and increasing exercise are both critical for public health and both margins should be attacked.,Uncertain,8,Banning junk-food adverts for kids cannot hurt but not sure it would be effective. Better yet regulate and fund for improved school meals.,Strongly Disagree,8,Governments should provide funding for improved school meals. This is surely cost effective - avoid the health costs of pink slime. ,,,,,,,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,
Carletti,Elena,Uncertain,2,,Agree,2,,Uncertain,2,,,,,,,,,
Danthine,Jean-Pierre,Uncertain,3,I am of the view that in this matter one must be pragmatic and attack the problem from all its angles. Not either or but both,Agree,3,I certainly agree that such a ban would be positive and would not hurt. How effective? I do not know the evidence,Uncertain,3,Not in position to evaluate to what extent setting such targets would worsen the ability of schools to deliver the core curriculum ,,,,,,,,
De Grauwe,Paul,Uncertain,5,I do not know enough about the relative health merits of lower calorie intake and physical exercise for reduction of obesity,Agree,8,,Uncertain,5,,,,,,,,,
Eeckhout,Jan,Uncertain,5,,Agree,4,,Disagree,5,,,,,,,,,
Fehr,Ernst,Uncertain,5,,Agree,8,,Uncertain,3,,,,,,,,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,
Fuchs-Schündeln,Nicola,Uncertain,8,Increasing incentives for healthy eating (or decreasing the price of healthy food) might be the best policy. ,Agree,9,,Uncertain,8,Improving healthiness of school food is a public health issue and should come from a different budget than the school budget.,,,,,,,,
Galí,Jordi,No Opinion,,,Agree,6,,Uncertain,5,,,,,,,,,
Giavazzi,Francesco,Uncertain,5,,Uncertain,5,,Disagree,7,,,,,,,,,
Griffith,Rachel,Agree,9,,Uncertain,9,"It might reduce temptation, but prices would likely fall (increasing quantity); and the overall impact of reducing junk food is unclear.",Agree,8,,,,,,,,,
Guerrieri,Veronica,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,
Guiso,Luigi,Uncertain,5,,Agree,5,,Strongly Disagree,7,,,,,,,,,
Guriev,Sergei,Uncertain,1,The alternative options are not clearly formulated,Agree,5,,Disagree,5,"There should be additional resources for healthier meals. Given the social cost of obesity, this is an obvious case for public subsidy",,,,,,,,
Honohan,Patrick,Disagree,1,"""Diet trumps exercise for weight loss""",Uncertain,1,"In the right direction, but effectiveness?",Disagree,1,"""Core curriculum"" that ignores health would seem a dubious concept.",,,,,,,,
Javorcik,Beata,Uncertain,1,,Strongly Agree,7,,Agree,6,,,,,,,,,
Kőszegi,Botond,Uncertain,10,,Agree,3,,No Opinion,,,,,,,,,,
Krahnen,Jan Pieter,Strongly Disagree,5,Heavy consumers (of food leading to obesity) are not always practicing physical exercise - so relative price change has a stronger effect.,Uncertain,4,Unclear whether ads are the main driver of consumption...,Uncertain,5,"Too many unintended side-effects, like discrimination accusation or defiance. In any case, there should be extra money, not substitution. ",,,,,,,,
La Ferrara,Eliana,Agree,5,,Agree,3,,Uncertain,5,"The issue is which alternative use resources are diverted from. The budget should be increased but not at the expense of teaching, etc.",,,,,,,,
Leuz,Christian,Disagree,3,Studies on incentives for exercise have mixed results. Health experts question focus on exercise and some suggest it is an industry tactic.,Agree,5,"There is evidence to support the statement. Documentary ""Fed Up"" discusses many environmental & industry factors & parallels to tobacco",Uncertain,3,"Very relevant for deprived areas. Evidence programs work & are cost effective, but tradeoff with schooling is typically not considered.",,,,,,,,
Mayer,Thierry,Uncertain,4,,Agree,3,,Uncertain,2,,,,,,,,,
Meghir,Costas,Uncertain,8,Depends on the implementation of incentives and whether exercise is compensated by extra sugar,Strongly Agree,8,,Uncertain,6,An ill posed question: we need to spend more resources on improving education in deprived areas,,,,,,,,
Neary,Peter,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,
Pagano,Marco,Agree,2,,Agree,3,,Disagree,3,,,,,,,,,
Pastor,Lubos,Uncertain,3,,Uncertain,3,Kids love sugar and calories. Evolution trumps advertizing.,Agree,3,,,,,,,,,
Persson,Torsten,Agree,6,Internal motivation is probably more effective than external enforcement,Uncertain,5,,Uncertain,5,,,,,,,,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,
Portes,Richard,Disagree,4,Evidence suggests physical exercise less effective in weight control than calorie reduction. ,Agree,4,,Disagree,4,,,,,,,,,
Prendergast,Canice,Uncertain,8,,Agree,7,,Disagree,6,,,,,,,,,
Propper,Carol,Agree,10,"The literature on changing health behaviours largely concludes that one tool alone (be that tool taxes, bans, facilities) is not enough. ",Agree,9,"It would be part of a solution. However the literature on tobacco, which has bans also suggests need for price solutions as well.",Strongly Disagree,9,"Early obesity is associated with bullying and later poorer health outcomes, which impact on the economic outcomes for indiivduals.",,,,,,,,
Rasul,Imran,Agree,6,,Agree,7,,Agree,5,,,,,,,,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,
Repullo,Rafael,Uncertain,4,,Uncertain,4,,Disagree,4,,,,,,,,,
Rey,Hélène,Agree,8,Positive effects of physical activity are numerous (mental health etc..),Uncertain,6,,Uncertain,5,,,,,,,,,
Schoar,Antoinette,Agree,7,"studies of addictive goods show taxes change behavior minimally, but affect poor people. we need a multi pronged approach to combat obesity",Agree,6,"it can help at the margin but will have minor effects by itself. given the severity of the obesity crisis, we should use all possible tools",Uncertain,3,there is definitely a trade off but i do not know what the cost and effectiveness of a change in school meals/cooking classes is.,,,,,,,,
Storesletten,Kjetil,Strongly Agree,8,Junk food taxes are highly regressive. Gains from small changes in behavior are outweighed by increased tax burden for the poor,Uncertain,3,,Disagree,3,,,,,,,,,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,
Van Reenen,John,Disagree,6,,Agree,6,,Uncertain,4,,,,,,,,,
Vickers,John,Agree,3,,Uncertain,2,,Uncertain,2,,,,,,,,,
Voth,Hans-Joachim,Uncertain,7,,Uncertain,7,,Agree,6,,,,,,,,,
Whelan,Karl,Disagree,7,I'm not a dietary expert but I'm pretty sure research shows control of calories intake is much more important than exercise for weight loss.,Disagree,5,There are lots of unhealthy foods. Picking some specific products to ban seems unfair and unworkable.,Strongly Disagree,6,It's ok for governments want to provide extra resources to schools to promote healthy eating. But obesity targets for schools are a bad idea,,,,,,,,
Wyplosz,Charles,Uncertain,3,"A good try, but would it work?",Agree,3,,Disagree,2,Fighting obesity through education looks to me like a highly productive investment.,,,,,,,,
Zilibotti,Fabrizio,Uncertain,5,,Agree,8,,Disagree,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
