Last Name,First Name,"An annual December spending surge on parties, gift-giving and personal travel delivers net social benefits.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,Uncertain,3,
Autor,David,No Opinion,,
Baicker,Katherine,Uncertain,3,
Banerjee,Abhijit,Agree,7,
Bertrand,Marianne,Agree,4,
Brunnermeier,Markus,No Opinion,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Disagree,2,Contributes to the obesity epidemic for sure.
Cutler,David,Agree,7,
Deaton,Angus,Strongly Agree,10,
Duffie,Darrell,No Opinion,,
Edlin,Aaron,Disagree,7,There is a difference between saying the holiday season confers net social benefits and that all the spending does.
Eichengreen,Barry,No Opinion,,
Einav,Liran,Agree,5,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Disagree,5,
Goolsbee,Austan,Agree,1,Don't be an econo/supervillain
Greenstone,Michael,Strongly Agree,10,who could be against the holiday season?........perhaps only the grinch!
Hall,Robert,Agree,7,Definitely for gifts. Doing a lot shopping at the same time is efficient. But congestion is a problem for travel and parties.
Hart,Oliver,Uncertain,5,There  seems to be a social need for public celebrations and gifts. But some are forced to participate.The net benefit is unclear.
Holmström,Bengt,Agree,6,
Hoxby,Caroline,Disagree,6,"The holidays may make us more altruistic, mindful of social good. I believe this, actually, but gifts/travel/spending do not seem essential "
Hoynes,Hilary,Agree,3,
Judd,Kenneth,Agree,3,"Signaling effects, each trying to be the best giver, create waste. Most actions are freely chosen. Net effect is likely positive."
Kaplan,Steven,Agree,2,
Kashyap,Anil,Agree,7,"No obvious failures of the welfare theorems, people have leisure complementarities and some prices are actually lower for shoppers"
Klenow,Pete,Agree,5,"By revealed preference, not for Keynesian reasons."
Levin,Jonathan,Strongly Agree,7,
Maskin,Eric,Agree,7,It would be Scrooge-like to suggest otherwise.
Nordhaus,William,Uncertain,1,
Saez,Emmanuel,Uncertain,6,
Samuelson,Larry,Strongly Agree,10,"Despite curmudgeonly economics articles, the revealed preference is that people derive gains from these activities.  "
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Uncertain,6,Compared to no concentration?  Externalities of both signs; who knows the net?
Shapiro,Carl,Strongly Agree,8,Don't let an overly narrow view of benefits and costs ruin your holiday cheer.
Shimer,Robert,Agree,2,There is social value to coordinating activities where there are complementarities. Arguably this is one of them.
Thaler,Richard,No Opinion,,
Udry,Christopher,Strongly Agree,10,Lots of gain from coordinated consumption... but with a great deal of inequality in the distribution of benefits 
