Last Name,First Name,"The average European is better off if Europe’s competition authorities let firms merge into European champions in their sectors, even it weakens competition.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If China and other countries use policies that create giant international firms, then the average European is better off if Europe's competition authorities let firms merge into European champions in their sectors, even it weakens competition.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,I would say it depends on the extent of global competition and the amount of access to EU markets.  ,Uncertain,5,Again it depends on global versus local competition.
Antras,Pol,Uncertain,10,Answer certainly depends on the sector under study. ,Uncertain,8,"Profit-shifting effects could rationalize this, but answer depends on what the foreign & European merger would do to costs and market power"
Bénassy-Quéré,Agnès,Disagree,7,"Less competition in upstream industries may reduce competitiveness in other sectors, on top of directly reducing purchasing power.",Uncertain,5,The eu should rather uses wto tools more intensively.
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Uncertain,6,,Uncertain,6,"to me, the two questions are de facto the same.  the answer must be uncertain, depending on specfics.  "
Bloom,Nicholas,Strongly Disagree,8,"Protectionism has a terrible track-record in history, even when justified as helping national champions. ",Strongly Disagree,8,"History and tell us European firms should be encouraged to be efficient and innovative, not state supported leviathans. "
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Uncertain,3,,Uncertain,3,
Danthine,Jean-Pierre,Disagree,6,,Uncertain,5,There could be a case in areas where security/privacy issues are at stake
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Strongly Disagree,8,,Disagree,8,"Whenever competition is weaker, the consumer typically suffers. There are caveats: technological dominance of Chinese firm, scale economies,"
Fehr,Ernst,Uncertain,5,,Uncertain,5,
Freixas,Xavier,Agree,7,The market is nowadays global and it is important to take technological risks by investing in research. Large firms can do this.,Strongly Agree,10,A reaction to unfair competition (i.e. not driven by profit maximization but by a geopolitical long term strategy) is necessary 
Fuchs-Schündeln,Nicola,Disagree,7,,Uncertain,4,
Galí,Jordi,Uncertain,5,,Uncertain,5,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Strongly Disagree,8,,Strongly Disagree,8,
Griffith,Rachel,Strongly Disagree,8,,Strongly Disagree,8,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Disagree,1,,Disagree,1,The final proviso seems to remove the potential justification for such a policy
Javorcik,Beata,Disagree,8,,Uncertain,5,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,6,"There are pros and cons, and I do not see easily how to weigh these arguments... ",Uncertain,1,
Krusell,Per,Uncertain,2,It depends on the particular sector and the particular foreign competition. I can see it going both ways.,Uncertain,2,
La Ferrara,Eliana,Uncertain,2,,Uncertain,2,
Leuz,Christian,Disagree,4,"Step in wrong direction; comp laws don't prevent mergers w/ strong econ rationale; if anything, we need stronger comp enforcemt ",Disagree,4,Other legal&political ways to address unfair competition; Would we weaken EU IP laws just because other countries don't have/enforce them?
Mayer,Thierry,Disagree,8,,Disagree,8,
Meghir,Costas,Disagree,8,,Disagree,7,
Neary,Peter,Uncertain,4,Case-by-case considerations matter. Not clear that a general rule is ideal,Uncertain,5,"If the choice is between a world Chinese monopoly or a world duopoly with a European firm, then subsidies are justified. But details matter"
O'Rourke,Kevin,Uncertain,5,,Uncertain,5,
Pagano,Marco,Strongly Disagree,8,,Uncertain,5,
Pastor,Lubos,Uncertain,3,,Uncertain,3,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Agree,7,But also some regulation is required to ensure that the conglomerate does not exploit its market position to the detriment of consumers,Strongly Agree,8,Better allow mergers to compete with open borders than restrict trade a la Trump
Portes,Richard,Strongly Disagree,7,,Strongly Disagree,7,
Prendergast,Canice,Disagree,7,,Uncertain,7,
Reichlin,Lucrezia,Agree,3,,Agree,3,
Repullo,Rafael,Disagree,6,,Disagree,6,
Rey,Hélène,Strongly Disagree,8,Decrease in competition hurts consumers and decreases innovation.,Disagree,6,Competition is important for innovation. But level paying field is required. How does one deal with China on this?
Schoar,Antoinette,Uncertain,5,,Uncertain,7,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,
Van Reenen,John,Strongly Disagree,7,,Disagree,7,
Vickers,John,Disagree,9,"Weakening of competition is likely to be negative, not positive, for the efficiency of European firms. So not the way to promote champions.",Disagree,9,
Voth,Hans-Joachim,Disagree,7,Doubtful even in the long run,Disagree,6,
Weder di Mauro,Beatrice,Strongly Disagree,7,,Disagree,6,
Whelan,Karl,Strongly Disagree,10,“European champions” seems to be verbal linguistics to justify undermining competition policy. ,Disagree,7,There may be some areas with huge economies of scale where this is true (eg aircraft production) but it will not generally be the case. 
Wyplosz,Charles,Strongly Disagree,3,A long-discredited idea that makes a come back,Disagree,1,
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
