Last Name,First Name,"The EU's taxonomy for sustainable activities - a classification system that defines criteria for economic activities that are aligned with a net zero trajectory by 2050 and the broader environmental goals other than climate - is an effective way to steer greener investment and the energy transition by firms and financial institutions.





Details on the taxonomy are here:

https://finance.ec.europa.eu/sustainable-finance/tools-and-standards/eu-taxonomy-sustainable-activities_en","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Use of the EU taxonomy for sustainable activities is likely to stifle important innovations, including in green technology.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"On balance, use of the taxonomy in EU directives and regulation is likely to be net beneficial to European citizens.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,The problem is that there is a very wide range of views about what is green and what is sustainable.  An important example is nuclear fission.  Germany does not regard it as green while France does. ,Agree,5,"This is an important issue.  While the taxonomy has a role to play, it is important that innovation is not stifled.",Agree,5,It certainly has a role to play and helps focus attention on the issues.
Antras,Pol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bénassy-Quéré,Agnès,Agree,7,The taxonomy is useful but only covers part of the problem. And binary approach not always appropriate.,Uncertain,7,Indirect impact through funding costs. Carbon pricing much more efficient.,No Opinion,,Global warming is... global.
Blanchard,Olivier,No Opinion,,,No Opinion,,,No Opinion,,
Bloom,Nicholas,Uncertain,1,,Uncertain,1,,Uncertain,1,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Agree,7,,Uncertain,7,,Agree,7,
Carletti,Elena,Disagree,7,,Uncertain,5,,Uncertain,5,
Danthine,Jean-Pierre,Agree,7,The idea behind the taxonomy is far from perfect but its existence will help the industry focusing on the environmental challenge confronting us.,Disagree,7,The worry is legitimate because the taxonomy is too detailed and not sufficiently principle based but I believe the biggest negatives can be avoided,Agree,7,
De Grauwe,Paul,Uncertain,6,,Disagree,5,,Uncertain,6,
Eeckhout,Jan,Agree,8,Better than nothing but carbon pricing will do this much more effectivly,Uncertain,7,,Agree,8,
Fehr,Ernst,Uncertain,1,,Uncertain,1,,Uncertain,1,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,3,,Uncertain,3,,Uncertain,3,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Garicano,Luis,Uncertain,10,"The EU taxonomy is a bit like the old Yahoo search engine: a set of categories and subcategories. It freezes a hugely changing reality at a moment in time. It will steer investment ,but I fear it will be too rigid and arbitrage ridden. ",Agree,7,"Again, it has to do with the fact that what may appear to the legislator brown at some point may be able to become green in ways that the legislation did not envisage.",Disagree,8,"I think the EU needs to reconsider this approach. We have a very good alternative: a price system, the ETS together with CBAM, that allows us to tax Carbon. Private investment is much more likely to be efficiently incentivized by having to pay a price for CO2.  "
Gorodnichenko,Yuriy,Uncertain,1,,Uncertain,1,,Uncertain,1,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Uncertain,5,,Uncertain,5,not informed enough,Uncertain,5,
Guriev,Sergei,Agree,8,,Disagree,8,,Agree,8,
Honohan,Patrick,Uncertain,1,"May help call out some greenwashing, but seems a fairly weak instrument at present.",Disagree,1,Too light an obligation to weigh heavily against significant innovations,Agree,1,But small.
Javorcik,Beata,Agree,6,,No Opinion,,,Agree,6,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,5,"If by ""effective"" we mean whether the taxonomy will steer investments, then the answer is clearly yes, because it is tied to several EU regulations/directives. It is less clear that it is a good way to steer investments or the energy transition.",Uncertain,5,"Definitely a concern. It could stifle innovation by being inflexible and driven by political compromises, rather than technological advances. It is updated only every three years (and we have not yet seen how much it changes with an update).  ",Uncertain,8,"It is too early and not much evidence yet. On one hand, the taxonomy limits greenwashing and guides investments in the direction of sustainability. On the other hand, much hinges on design and flexibility of the taxonomy. A price mechanism (think carbon tax) should be considered."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,8,,Uncertain,8,,Uncertain,8,
Pagano,Marco,Uncertain,1,,Uncertain,1,,Uncertain,1,
Pastor,Lubos,Agree,9,,Uncertain,9,,Agree,9,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,5,No consensus on interpretation and implementation ,Strongly Disagree,5,,Disagree,5,
Prendergast,Canice,Agree,6,,Uncertain,8,,Agree,7,
Propper,Carol,Agree,4,,Uncertain,4,,Uncertain,4,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Disagree,8,,Agree,8,,Disagree,8,
Reis,Ricardo,No Opinion,,,No Opinion,,,No Opinion,,
Repullo,Rafael,Uncertain,4,,Uncertain,4,,Uncertain,4,
Rey,Hélène,Disagree,8,uniform measurement of GHG emissions together with as global as possible carbon price and appropriate public investment would be effective,Uncertain,6,,Uncertain,6,
Schoar,Antoinette,Uncertain,7,,Uncertain,7,,Disagree,7,"If it comes at the expense of scientific research into sustainable energy , it is net negative. "
Storesletten,Kjetil,Uncertain,2,,Uncertain,1,,Uncertain,2,
Sturm,Daniel,Uncertain,3,,Disagree,3,,Uncertain,3,
Van der Ploeg,Rick,Uncertain,7,I fear that nuclear energy and natural gas will be counted as green and sustainable.,Uncertain,7,"If natural gas and nuclear are viewed as green, financial and other resources for R&D will be detracted from real green R&D investments.",Agree,7,Better something than nothing.
Van Reenen,John,Uncertain,6,,Disagree,8,,Agree,6,
Vickers,John,Uncertain,4,,Disagree,4,,Uncertain,3,
Voth,Hans-Joachim,Strongly Disagree,8,,Agree,7,,Strongly Disagree,8,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Disagree,5,It's a politico-bureaucratic exercise.,Uncertain,2,,Uncertain,3,
