Last Name,First Name,"All else equal, if corporations throughout Europe set quotas for a minimum number of women board members, the shareholder value of European companies would increase.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Taking into account the likely effects on investments in human capital by men and women, setting quotas throughout Europe for a minimum number of women board members would generate substantial net benefits for Europeans.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Uncertain,3,I am not knowledgeable about the evidence in this area.  Setting quotas is a good idea in my view but not because of value increase.,Agree,4,I think there would be long term benefits of quotas for this kind of reason.
Antras,Pol,Uncertain,8,"The answer would surely depend on what the quota is set to! I think a quota is reasonable but empirical evidence 
for externalities is scant",Uncertain,8,Again I am broadly supportive. But a 25% vs a 40% quota could generate very distinct effects. The 40% quota in Norway didn't seem to do much
Bénassy-Quéré,Agnès,No Opinion,,I think there are already quotas in a number of countries.,Uncertain,1,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,3,Different perspectives are typically useful.  Whether there is a sufficiently large pool of qualified women today is not obvious.  ,Agree,4,
Bloom,Nicholas,Disagree,5,"Regulating firms behavior usually reduces profits and this is unlikely to be an exception. However, it still could be good for society.",Disagree,4,
Blundell,Richard William,Uncertain,7,,Agree,8,"In terms of potential earnings and productivity growth, increasing the female share could have a large overall gain."
Carletti,Elena,Agree,6,,Agree,6,
Danthine,Jean-Pierre,Uncertain,4,,Agree,4,A voluntary push to increase the number of women board members would be beneficial but it should be progressive and adapted to startingpoint
De Grauwe,Paul,Uncertain,2,I have no expertise in this issue,Uncertain,2,
Eeckhout,Jan,Agree,7,,Strongly Agree,9,
Fehr,Ernst,Uncertain,7,,Uncertain,6,
Freixas,Xavier,Strongly Disagree,8,,Uncertain,5,
Fuchs-Schündeln,Nicola,Agree,8,,Agree,8,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,
Garicano,Luis,Disagree,5,"Positive: breaking open old boys network, fairer promotions, visibility of mentors. Negative: choice set is more restricted",Agree,6,Increased diversity eads to more equality of opportunity in society and better decisions (taking better into account all preferences)
Giavazzi,Francesco,Uncertain,5,,Agree,3,
Griffith,Rachel,Uncertain,7,,Agree,6,
Guerrieri,Veronica,Uncertain,6,"Valuable women otherwise discriminated could become board members, but stigma could have negative effects in the longer run",Uncertain,6,"Quotas may give the incentive to women to invest more in human capital, but again stigma may backfire in the longer run"
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Hellwig,Martin,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Uncertain,4,,Agree,4,
Kőszegi,Botond,Uncertain,3,,Disagree,2,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,5,"Even if more women on boards meant better decisions, the effect on shareholder value in general equilibrium is likely non-positive.",Agree,2,"The sum of two marginal effects - one positive (women), the other negative (men) - is likely to be positive in this case."
Krusell,Per,Agree,3,Initially the reaction may be the opposite but my belief is that over the longer run it would be a plus. No data to back it up though!,Agree,4,It's about making use of the talents of the entire population: good for prosperity. Much of management is (male) networking.
La Ferrara,Eliana,Uncertain,3,,Agree,3,
Leuz,Christian,Uncertain,5,"In short run, evidence suggests negative effects likely bc supply of qualified women is not yet large enough. Not much evidence on long-run.",Uncertain,3,"Even if effects on firm value were negative, could still make sense for society to do it. But GE & long run effects are very hard to judge. "
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Uncertain,4,I am in favour of this kind of measure in principle but do not want to claim that it would affect shareholder value for the better; no worse,Uncertain,4,"Benefits yes; more openings for women, encouraging human capital acquisition, better decisions. I am not sure they would be ""substantial"""
O'Rourke,Kevin,Agree,6,,Strongly Agree,10,
Pagano,Marco,Uncertain,7,"No strong evidence for this: e.g. see ""Women on boards: The superheroes of tomorrow?"" by Renee Adams .",Uncertain,7,
Pastor,Lubos,Disagree,5,"Constrained maximization is less efficient than unconstrained. Gender-based discrimination, if any, would have to be strong to offset this.",Uncertain,5,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Agree,7,It will ensure more diversity in the views expressed and potential shareholders will have more confidence in the board as a supervisory body,Strongly Agree,9,Incentives to create more jobs for qualified women will encourage more education and will increase the pool of qualified people overall
Portes,Richard,Agree,6,"I have seen empirical research that appears to support this assertion, and I have not seen any that contradicts it. But it’s not my field!",Agree,5,
Prendergast,Canice,Uncertain,8,,Agree,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Agree,8,,Uncertain,4,
Rey,Hélène,Agree,9,Diversity improves outcomes in a complex world. ,Strongly Agree,9,I could see many positive spillover effects.
Schoar,Antoinette,Uncertain,9,,Agree,8,
Van Reenen,John,Disagree,6,,Disagree,4,
Vickers,John,Uncertain,2,,Uncertain,2,
Voth,Hans-Joachim,Agree,4,,Agree,3,
Weder di Mauro,Beatrice,Agree,6,,Agree,8,
Whelan,Karl,Uncertain,1,,Disagree,5,
Wyplosz,Charles,Disagree,2,"Diversity is good, but not sure that the impact will be significant.",Agree,3,"In the long run, removing discrimination can only be good. But how good?"
Zilibotti,Fabrizio,Uncertain,5,,Agree,9,
