Last Name,First Name,"The way in which money market funds normally trade – at one dollar per share, even though the per-share value of the assets backing them varies over time – made them vulnerable to a run in 2008 before they received taxpayer guarantees.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Taxpayers would be better protected if each money market fund in the U.S. were instead required to trade at its floating net asset value.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"In the absence of floating net asset values, taxpayers would be better protected if each money market fund in the U.S. were required to set aside capital to protect against losses while holding back a portion of shareholders' cash for a time when they seek to withdraw all of their money.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4,,Uncertain,4,,Agree,4,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,4,,Agree,4,,Agree,3,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,3,,Agree,3,,No Opinion,,,,,,,,,,,,,,,,,,,,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,No Opinion,,,Agree,4,,No Opinion,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,8,,Uncertain,9,"The alternative is committing not to rescue them, which is difficult.  ",Uncertain,8,,,,,,,,,,,,,,,,,,,
Currie,Janet,Agree,2,,Agree,2,,Agree,5,,,,,,,,,,,,,,,,,,,
Cutler,David,Uncertain,1,,Uncertain,1,,Agree,3,,,,,,,,,,,,,,,,,,,
Deaton,Angus,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Strongly Agree,10,"In 2008,  Institutional investors ran, redeeming shares at a dollar each when  a risk arose that this might later become impossible. ",Strongly Agree,10,This would lower the incentive to be the first to run. These runs are destructive.,Strongly Agree,10,"This would lower run risk, analogous to bank capital requirements as a mitigant of depositor runs.  ",,,,,,,,,,,,,,,,,,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,5,,Uncertain,5,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Fair,Ray,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,6,,Agree,6,,Agree,5,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,10,"The run on mmmfs was one of the systemic events that nearly blew up the world in 2008
L",Agree,8,,Agree,8,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,4,,Agree,8,,Uncertain,1,This sounds correct but I would need to think about it more to have much certainty about it.,,,,,,,,,,,,,,,,,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,9,,Agree,7,Better protected means just that -- smaller chance of a run. Doesn't necessarily mean it is socially desirable.,Agree,8,Bigger capital cushions -- relative to the past -- are surely desirable. But the optimal level is unknown. ,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Agree,8,,No Opinion,,"This is one possible remedy for the problem, but not the only one.  It also has some features incompatible with the intended use of MMFs.",No Opinion,,"This is one possible remedy for the problem, but not the only one.  It also has some features incompatible with the intended use of MMFs.",,,,,,,,,,,,,,,,,,
Judd,Kenneth,No Opinion,,,No Opinion,,,Agree,3,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,10,The current structure of MMMFs makes them susceptible to runs.  So an ugly blow up in Europe could spread to the US via the MMMFs. ,Strongly Agree,7,Floating NAV definitely ends the risk of a run.  Only caveat is what happens to the money that MIGHT migrate.  Could be a whack a mole issue,Strongly Agree,7,SEC has a chance to require this and it would help.  This probably leads to more migration than floating NAV.  ,,,,,,,,,,,,,,,,,,
Klenow,Pete,Strongly Agree,5,,Strongly Agree,5,,Strongly Agree,5,,,,,,,,,,,,,,,,,,,
Lazear,Edward,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,4,I'm not expert on the institutional details but seems similar to standard demand deposit arrangement (a la diamond-dybvig).   ,Agree,1,,Agree,3,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,No Opinion,,,Agree,7,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Strongly Agree,8,,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,9,,Strongly Agree,9,,Agree,9,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,No Opinion,,Haven't read or thought about these issues.,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Agree,9,,Strongly Agree,9,,Agree,9,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Agree,8,,Strongly Agree,7,Money market funds are mutual funds. They should not be allowed to pretend otherwise.,Uncertain,5,"How much capital would be ""enough"" in case of a run?  When would the waiting period be enforeced?  This is a weak policy alternative.",,,,,,,,,,,,,,,,,,
Thaler,Richard,Strongly Agree,7,,Uncertain,1,Not sure about this policy.  Would be very confusing to investors who (wrongly) think of these as bank accounts rather than investments.,Disagree,3,Seems like this could ENCOURAGE runs.,,,,,,,,,,,,,,,,,,
Udry,Christopher,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Strongly Agree,9,,Strongly Agree,7,,Strongly Agree,7,,,,,,,,,,,,,,,,,,,
