Last Name,First Name,"Experience over the past 30 years shows that for the typical emerging market nation facing rapid capital outflows, spending foreign currency reserves to defend its currency is a better policy for its citizens than not doing so.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,7,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,No Opinion,,
Auerbach,Alan,No Opinion,,
Autor,David,Uncertain,10,
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,Uncertain,1,
Chetty,Raj,No Opinion,,
Chevalier,Judith,Disagree,2,
Currie,Janet,Uncertain,1,
Cutler,David,Uncertain,1,
Deaton,Angus,Disagree,1,
Duffie,Darrell,Strongly Disagree,9,"Better to allow to devaluation of the currency, promoting exports and not wasting valuable FX reserves, as defense is not likely to succeed."
Edlin,Aaron,No Opinion,,
Eichengreen,Barry,Uncertain,10,Whether intervention is wise depends on why capital is flowing out (bad policies or unfounded panic). In the first case it's hopeless.
Fair,Ray,Disagree,5,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Uncertain,1,
Greenstone,Michael,No Opinion,,
Hall,Robert,Uncertain,2,Really tough question. Outside.my expertise.
Holmström,Bengt,Uncertain,4,Do not know broad evidence. Short time intervention could stem speculation. Long - term wasteful
Hoxby,Caroline,Disagree,5,"The right answer depends on the circumstances, especially whether permanent or temporary events account for outflows.  Usually:  disagree."
Judd,Kenneth,Disagree,6,Efforts to maintain an overvalued currency will likely exhaust those reserves before they stop the outflows.
Kashyap,Anil,Disagree,5,"Depends on the particulars, but it is usually better to fix the problem that is causing the reversal.  "
Klenow,Pete,Disagree,2,"Reserve management has not prevented ""Sudden Stops"" from being a major source of emerging market business cycles."
Levin,Jonathan,Uncertain,1,
Maskin,Eric,Agree,5,
Nordhaus,William,Strongly Agree,6,
Obstfeld,Maurice,Uncertain,10,"One should use reserves to defnd the financial system (notably banks with USD liabilities), not the ""currency"" (exchange rate) per se."
Saez,Emmanuel,Disagree,3,
Scheinkman,José,Strongly Disagree,8,
Schmalensee,Richard,Disagree,3,
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,No Opinion,,
Thaler,Richard,No Opinion,,
Udry,Christopher,Uncertain,4,
Zingales,Luigi,Did Not Answer,,
