Last Name,First Name,Clearing the market for surgical face masks using prices is detrimental to the public good.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Laws to prevent high prices for essential goods in short supply in a crisis would raise social welfare.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Governments should buy essential medical supplies at what would have been the market price and redistribute according to need rather than ability to pay.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,"Very thorny question. UK thinking about making ""profiteering"" illegal. Efficient to raise prices but not equitable.",Uncertain,5,Again a very difficult issue.,Uncertain,5,"In pronciple this sounds a good idea, but it depends what prices the government pays and how the purchase is financed."
Antras,Pol,Uncertain,4,,Agree,5,But I can only see this working on a very temporary basis.,Agree,6,"This seems like a good idea, but I worry about how well implemented it would be. Perhaps I'm particularly skeptic because of where I live."
Bénassy-Quéré,Agnès,Strongly Agree,10,Wearing a mask = producing a public good. There should be helicopter drops of masks over deprived areas.,Agree,5,Only if some technology is available to distribute the goods evenly.,Uncertain,5,Governments (especially in the EU) should group their procurements in order to reap market power.
Blanchard,Olivier,Agree,8,"Market clearing will lead the masks to go to those with the highest ability to pay, not the most need. ",Agree,8,This might decrease supply and be costly.  But rationing may get the goods to those who have the most time and need. ,Strongly Agree,9,"Clearly the best solution if it can be achieved. A small risk of cronysm in distribution, but worth taking"
Bloom,Nicholas,Agree,10,This is like war time rationing - face masks should go to those who need them not those who pay most,Uncertain,10,Pros and cons,Disagree,6,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Uncertain,5,,Agree,6,,Uncertain,5,
Danthine,Jean-Pierre,Agree,5,Ultra high prices are not necessary incentives and they are clearly detrimental to the public good.,Agree,6,,Agree,7,
De Grauwe,Paul,Agree,8,,Agree,8,,Agree,7,
Eeckhout,Jan,Uncertain,6,,Agree,6,,Uncertain,6,"Depends: If there is hoarding and runs on products, intervention helps; if it disrupts the supply chain (parts of ventilators), it does not"
Fehr,Ernst,Uncertain,6,,Uncertain,6,,Agree,6,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Uncertain,6,,Disagree,6,,Agree,6,
Giavazzi,Francesco,Strongly Disagree,8,,Disagree,6,,Agree,8,
Griffith,Rachel,Strongly Agree,10,,Strongly Agree,9,,Strongly Agree,9,
Guerrieri,Veronica,Agree,7,,Uncertain,8,,Strongly Agree,8,
Guiso,Luigi,Uncertain,1,,Uncertain,4,,Agree,6,
Honohan,Patrick,Agree,1,"Mask mainly protects others, not user, so externality very strong",Uncertain,1,May need more than price control laws to improve allocation in such circumstances,Uncertain,1,Government may want to pay more than old market clearing price to induce supply response
Javorcik,Beata,Agree,9,,Agree,9,,Strongly Agree,9,
Kőszegi,Botond,Agree,10,,Uncertain,10,,Agree,7,
Krahnen,Jan Pieter,Uncertain,5,"As there are strong externalities involved, e.g. in hospital personnel, the usual allocational efficiency arguments do not apply fully.",Disagree,6,"Price ceilings would deter production, without necessary implications for allocation, hence ceilings will lead to welfare losses.",Agree,5,That is a way to  ridge the gap between efficiency and a more broadly defined concept of welfare.
La Ferrara,Eliana,Agree,4,,Agree,3,,Uncertain,2,
Leuz,Christian,Disagree,5,,Disagree,5,There are equity or inequality issues related to price gouging but they can be (better) addressed with policy in question 3. ,Agree,5,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Disagree,8,Price caps lead to shortages. The government and international organizations should channel funds to ensure all concerned can afford masks,Disagree,8,Again the price mechanism will ensure entry where most needed. Government subsidies can solve the affordability problem.,Agree,8,
Neary,Peter,Strongly Agree,6,Classis results of Weitzman suggest that quantity controls are desirable when marginal benefits are inelastic relative to costs,Agree,5,"Same response applies as to A): on both efficiency and equity grounds, allocating by quantity not price is better in a crisis",Strongly Agree,5,To earlier arguments can be added the externalities associated with mass innoculation: huge social benefits irrespective of ability to pay
O'Rourke,Kevin,Agree,8,,Uncertain,6,,Uncertain,6,
Pagano,Marco,Strongly Disagree,10,Just look at what is happening in Italy!,Disagree,7,"The government should provide financial support to poor people who cannot afford such goods, rather than tring to control their price.",Agree,7,
Pastor,Lubos,Disagree,3,,Uncertain,3,,Strongly Agree,3,
Persson,Torsten,Uncertain,5,The effect on the public good depends a great deal on whether a credible (=enforceable) constraint can be put on face-mask quality. ,Disagree,4,,Agree,6,
Pissarides,Christopher,Strongly Agree,9,Wearing a mask protects others and people will not pay for this part of the benefit. They should be subsidised ,Disagree,8,Let prices rise but government should subsidise purchases by lower income groups ,Strongly Agree,8,Supplies would then be efficient and policy would reduce inequality 
Portes,Richard,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Prendergast,Canice,Uncertain,9,,Agree,8,,Uncertain,10,
Reichlin,Lucrezia,Agree,3,,Agree,3,,Agree,3,
Repullo,Rafael,Disagree,4,,Disagree,6,,Agree,6,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,7,depends on the trade off between short term distributional goals of the current stock versus longer term incentives for production.,Disagree,9,"if production capacity is, fixed high prices equal rents and can be regulated. but if not, firms need incentives to invest in new capacity",Strongly Agree,9,
Sturm,Daniel,Disagree,7,"While some price controls might help, effective regulation to eliminate low-quality products is probably more important.",Uncertain,5,,Agree,8,
Van Reenen,John,Uncertain,1,,Agree,1,,Agree,3,
Vickers,John,Agree,5,"In a crisis there has to be a better way than the price mechanism to allocate such goods, but will governments establish one? ",Uncertain,5,It depends how good the rationing mechanism is.  And beware adverse supply response.  ,Agree,5,But easier said than done
Voth,Hans-Joachim,Uncertain,10,Depends on the elasticity of supply ,Uncertain,10,,Strongly Agree,9,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Agree,7,If there are shortages of PPE for medical staff then there is higher social value to getting them this equipment than others.,Disagree,5,Even if there was a theoretical argument for this (and that's unclear) price restrictions are hard to enforce in practice.,Disagree,5,"Where there are shortages, allowing prices to rise is one way to get supply up. Getting equipment to medical staff should be first priority."
Wyplosz,Charles,Uncertain,4,There already is a black market. Price fixing will further develop this market.,Disagree,4,Isn't it better to provide support to the people with low income and those who lost their jobs (as many countries actually do)?,Strongly Agree,5,
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
