Last Name,First Name,The amendments to the Northern Ireland protocol agreed by the UK and the EU are unlikely to have a measurable direct impact on UK growth over the next two years.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"If renewed UK-EU scientific cooperation were achieved in the wake of the Windsor framework, it would be likely to have a measurable positive impact on UK growth over the next five years.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Disagree,5,"The protocol is likely to reset EU-UK relations. It will set the stage for a much more harmonious relationship, which could well have a measurable effect on UK growth. ",Uncertain,5,Difficult to say how effective this collabortion will be.  The last few years have been quite difficult for the relationship.
Antras,Pol,Did Not Answer,,,Did Not Answer,,
Bénassy-Quéré,Agnès,Uncertain,2,Could reduce the level of institutional uncertainty and unlock future agreements such as UK-US. But probably limited impact in the short term.,Agree,4,Scientific cooperation is always good for growth. But takes time to materialize.
Blanchard,Olivier,Agree,8,,Disagree,6,. Not first order anyway and 5 years is likely too short to see measurable effects
Bloom,Nicholas,Disagree,7,Taking a more pro-EU approach and reducing uncertainty could improve British growth. This is unwinding a little of the craziest bits of Brexit.,Agree,8,Is this a trick question? It takes far more than 5 years for a rise in basic science funding to impact GDP - think more like 10 to 30 years :-)
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,6,,Uncertain,6,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,1,,Uncertain,3,This would obviously be very positive but it is hard to be sure that the impact would be significantly positive within 5 years.
De Grauwe,Paul,Agree,7,,Uncertain,6,
Eeckhout,Jan,Agree,5,,Uncertain,7,
Fehr,Ernst,No Opinion,,,No Opinion,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Uncertain,2,,Agree,4,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,No Opinion,,,No Opinion,,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Guriev,Sergei,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Agree,8,Direct effect will be small given that Northern Ireland accounts for only 2 per cent of the UK GDP. Indirect and longer term effects could be greater if the deal unlocks improved UK-EU cooperation.    ,Agree,8,The deal unlocks potential improvements in UK-EU economic cooperation removing some of the uncertainty that holds back UK investment post-Brexit.  (Also could remove certain medium term threats to the Northern Ireland and Ireland economies). 
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Agree,4,"The Northern Ireland trade volume is limited in size, relative to the UK economy. The importance of ""Windsor"" agreement is more symbolic, and it eases the path towards better collaboration between UK and EU in the future. In this indirect way, there agreement may impact growth.",Disagree,5,"Actual scientific collaboration will not change by much (with or without the framework), and I guess that UK will substitute for EU money anyway - given that net funding of Research via EU is close to zero anyway (note: participation in Horizon program requires co-funding by UK)."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,3,,Uncertain,3,"Effect is likely directionally positive, but scientific progress takes time to manifest in growth."
Mayer,Thierry,Uncertain,9,,Strongly Agree,9,
Meghir,Costas,Uncertain,9,Better relations with the EU can increase business and investor confidence,Agree,9,
Pagano,Marco,Uncertain,1,,Uncertain,1,
Pastor,Lubos,No Opinion,,,No Opinion,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,"There will be longer term positive effects (investment in NI, rejoining Horizon programme, ...) but nothing significant that soon.",Agree,10,"At 5-year horizon, positive effects on research (e.g. in biotech) and associated economic activity are likely - but growth effects not huge."
Prendergast,Canice,Agree,9,,Uncertain,6,
Propper,Carol,Strongly Agree,5,,Agree,5,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Disagree,5,They help the UK move on and start many other reforms it needs. ,Agree,7,Science and education are two of the few world-leading industries in the country
Repullo,Rafael,Uncertain,4,,Uncertain,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Disagree,7,,Uncertain,7,
Storesletten,Kjetil,Agree,4,,Disagree,5,
Sturm,Daniel,Agree,8,,Agree,8,
Van der Ploeg,Rick,Uncertain,5,"Not sure. It will definitely boost economy of Northern Ireland. It may even be at the expense of the economy of Great Britain. It is all madness, since before Brexit most Northern Ireland and Great Britain already had access to each others' markets and those of the EU.",Agree,3,"The demise of Horizon, ERC and other EU grants is a disaster for UK universities, and the potential innovations necessary to fuel growth. I do not have much confidence that this will be resolved in the same manner as it was before Brexit."
Van Reenen,John,Disagree,6,"Effect is small, but on Northern Ireland will be non-trivial. In general effets of Brexit have been large and negative and will continue to be so for decades",Disagree,8,"UK re-joining Horizon is fantastic news and great for UK and EU science. But the lags between research, innovation and growth are long, variable and uncertain"
