Last Name,First Name,"New technology for fracking natural gas, by lowering energy costs in the United States, will make US industrial firms more cost competitive and thus significantly stimulate the growth of US merchandise
exports.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Uncertain,1,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,Disagree,3,
Autor,David,Uncertain,2,"Natural gas prices will fall, but this may affect world price as much as U.S. price. Not sure whether U.S. production affects U.S. price."
Baicker,Katherine,Did Not Answer,,
Bertrand,Marianne,Uncertain,1,
Chetty,Raj,Agree,4,
Chevalier,Judith,Agree,7,
Currie,Janet,Disagree,7,"Energy costs are set largely in the world market.  Moreover, environmental degradation could make areas less competitive in the long run."
Cutler,David,Disagree,8,
Deaton,Angus,Strongly Disagree,7,Isn't this what the Dutch disease is about? 
Duffie,Darrell,Agree,1,The question did not ask whether the associated envirnomental costs are large. I do not know the answer to that question. 
Edlin,Aaron,Disagree,5,
Eichengreen,Barry,Disagree,6,
Fair,Ray,Uncertain,4,
Goldberg,Pinelopi,Agree,5,"Substantially lowering energy costs would make U.S. firms more competitive, but at a potentially veyr high environmental price."
Goldin,Claudia,Agree,3,"But I don't know how much it would stimulate economic growth and, thus, I could not claim that it would be ""substantial."""
Goolsbee,Austan,Agree,7,
Greenstone,Michael,Agree,6,"lower prices help w exports of manufacturing but i bet ""significantly"" is too strong.  better ? is should we export nat gas & answer is yes"
Hall,Robert,Agree,7,"More important, it raises real income and thus consumption. We don't really care about exports, only consumer well-being."
Holmström,Bengt,Uncertain,5,
Hoxby,Caroline,No Opinion,,A silly gotcha q! Fracking may lower gas price but it's traded on world mkt so it won't make any country's exports more cost competitive.Duh
Judd,Kenneth,Did Not Answer,,
Kashyap,Anil,Disagree,5," 3 uncertain steps.  Natural gas prices might fall, but cost savings might be minimal, & share of energy costs may be too small to matter.  "
Klenow,Pete,Strongly Agree,5,My colleague Frank Wolak says the cost of oil is about $16/MMBTU vs. about $2.50/MMBTU for natural gas.
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,No Opinion,,
Nordhaus,William,Agree,8,Qualifications that clearly correct but unclear about how large.
Obstfeld,Maurice,Uncertain,8,"In a global market, natural gas prices would fall worldwide helping foreign economies too. US-specific effects depend on market barriers."
Saez,Emmanuel,Disagree,3,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,8,
Shin,Hyun Song,Uncertain,7,
Stock,James,Did Not Answer,,
Stokey,Nancy,Disagree,9,Energy costs are too small a share of total mfg costs to have a big impact.  Labor costs are the lion's share of the total.
Thaler,Richard,No Opinion,,
Udry,Christopher,Disagree,6,"US energy prices are driven by world supply and demand, so the effect on US growth is realized only if global prices are moderated."
Zingales,Luigi,Agree,4,In the answer I am ignoring any potential environemtal impact 
