Last Name,First Name,Breaking the “doom loop” — a negative spiral that can result when banks hold sovereign bonds and governments bail out banks — would increase the stability of European economies in the event of another financial crisis.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Regulators should try to break the doom loop by assigning positive risk weights — in calculating banks’ capital requirements — to banks’ holdings of domestic and other Eurozone sovereign bonds.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Breaking the doom loop would impose substantial costs on powerful political constituencies.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,"The doom loop is a real problem still, particularly for some southern European countries.",Agree,7,I think this would be helpful.,Uncertain,7,It would be interesting to see exactly what the political opposition would be to this measure.
Antras,Pol,No Opinion,,,No Opinion,,,No Opinion,,
Bénassy-Quéré,Agnès,Strongly Agree,10,Not least because it would ease the ability of the ECB to fully play its role of a lender of last resort.,Disagree,10,Concentration charges would be more adequate to avoid triggering a crisis in the short term.,Agree,5,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,8,"i think investors often overestimate the budget risks, leading to a stronger doom loop than would be warranted",Agree,7,,Agree,8,governments with short horizons will not like it.  
Bloom,Nicholas,No Opinion,,,No Opinion,,,No Opinion,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Strongly Agree,8,,Agree,8,"I agree but this cannot be the only measure to break the loop. Fiscal backstops, European deposit insurance and alike are also necessary",Uncertain,8,Not sure to fully grasp the meaning of the question 
Danthine,Jean-Pierre,Strongly Agree,1,,Strongly Agree,1,,Agree,1,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,6,,Agree,8,,Disagree,7,
Fehr,Ernst,Agree,9,,Agree,8,,Uncertain,5,
Freixas,Xavier,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Strongly Agree,8,,Agree,6,,Uncertain,3,
Galí,Jordi,Agree,8,,Strongly Agree,8,Not doing so may raise serious questions about the independence of regulators. There is no such a thing as risk-free debt.,Strongly Agree,8,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Strongly Agree,10,,Disagree,5,it all depends on the time horizon,Disagree,8,this is not in my view then main problem
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Strongly Agree,8,,Uncertain,8,"Depending on how is done, the transition may make things worse",Disagree,8,I do not think this is the main constraint
Guiso,Luigi,Agree,7,,Strongly Agree,8,,Uncertain,5,
Honohan,Patrick,Agree,10,Though it depends on how the break is achieved. Bail-in of wholesale bank creditors plus prudent fiscal stance is the safest combination.,Uncertain,10,"This could be prove to be a false friend. After all, a stressed sovereign can tax or levy local banks even if they hold none of its debt. ",Strongly Agree,10,And could generate even larger benefits to others...
Javorcik,Beata,Uncertain,3,,Uncertain,3,,Agree,3,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,7,"In the Eurozone, banks' home bias creates bankruptcy risk because states cannot print the money needed to redeem their debt.",Agree,6,"I only weakly agree, because  there are second order effects of risk weights, and there are better alternatives, like concentration limits.",Uncertain,5,Second order (political) effects of changing risk weights are only poorly understood.
Krusell,Per,Agree,4,,Agree,4,,No Opinion,,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,8,Substantial evidence for doom loop and its effect on financial stability as well as that banks’ sovereign holdings are source of instability,Agree,6,"Positive weights would be one way to reduce incentives to hold sovereign bonds, but not clear it is the best way to break doom loop. Limits?",Agree,5,Likely but only indirect evidence based on governments' resistance to potential solutions
Mayer,Thierry,Uncertain,3,,No Opinion,,,No Opinion,,
Meghir,Costas,Strongly Agree,8,,Strongly Agree,8,,Agree,8,
Neary,Peter,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
O'Rourke,Kevin,Strongly Agree,8,,Agree,6,,Uncertain,5,
