Last Name,First Name,"To the extent that public corporations pursue social and environmental initiatives, they tend to achieve higher risk-adjusted (private) returns than otherwise similar corporations that pursue such initiatives less.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,To the extent that Norway’s global government pension fund makes investments for social and environmental objectives — apart from investments that would bring the highest expected risk-adjusted returns — it improves the welfare of Norwegians.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,4,Not sure of the entire literature in this field.  Would guess there are a range of results here.,Agree,5,Not very knowledgeable about the current ESG policies of Norwegian Global Pension fund.
Antras,Pol,Uncertain,6,"Not my field, but it's not clear to me how these factors would affect the stochastic discount factor. It seems it's mostly a level effect. ",Agree,6,"But that's under the premise that those investments would not be carried out otherwise. If not, it is less clear."
Bénassy-Quéré,Agnès,Uncertain,1,It probably depends on the investment horizon.,Agree,6,The fund has a long horizon.
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Strongly Disagree,9,Hard to believe that adding constraints on portfolio choice leads to higher returns,Uncertain,8,"If my knowledge is correct, the fund invests outside of Norway.  So it may make the world a better place, but not necessarily Norway.  "
Bloom,Nicholas,Disagree,5,,Agree,5,The size of the investment funds allows Norway to steer the world in a more positive direction - offsetting some of Trump's global damage
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Uncertain,2,,Agree,2,
Danthine,Jean-Pierre,Uncertain,5,,Uncertain,5,uncertain about Norwegians' material welfare (exclus. foreign investments) but revealed preference implies higher subjective welfare.
De Grauwe,Paul,Uncertain,2,"This is a a question about facts, not about opinion. I do not know the facts ",Uncertain,3,
Eeckhout,Jan,Uncertain,6,,Uncertain,6,
Fehr,Ernst,Disagree,6,,Uncertain,2,
Freixas,Xavier,Strongly Disagree,10,A firm with sufficient monopoly rents can engage in social responsible activities and attract more talent. Still in a competitive market no.,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Disagree,3,,Agree,3,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Agree,8,,Agree,8,
Griffith,Rachel,Strongly Disagree,7,"Firms taking constrained choices will earn lower financial returns, there might be other benefits to pursuing social or environmental goals.",Agree,8,If Norwegians value the non-financial benefits from investments for social/environmental objectives this will enhance their welfare.
Guerrieri,Veronica,No Opinion,,,No Opinion,,
Guiso,Luigi,Uncertain,5,For what I know there is no convincing evidence on the effect of CSR on profitability.,Strongly Agree,5,
Honohan,Patrick,Agree,1,"Intuitively makes sense as a long-term proposition. Besides: I don't see not much evidence that ""ethical"" funds generally underperform. ",Agree,3,But this depends on strong governance and freedom from capture by political short-termism.
Javorcik,Beata,Uncertain,4,,Strongly Agree,8,
Kőszegi,Botond,Uncertain,8,,Agree,8,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,5,"It is an unlikely combination, doing good and having private benefits too. ",Agree,5,There is an emotional benefit in pursuing such an investment stratategy that may be relevant here.
Krusell,Per,Strongly Disagree,3,"I haven’t seen any evidence to support this claim and tested theory predicts the opposite. But if it’s a fad it can pay off, like any fad. ",Disagree,8,"I define welfare in traditional ways (goods and services, leisure). If Norwegians attach a moral value to these actions, maybe it is a plus."
La Ferrara,Eliana,No Opinion,,,Agree,3,
Leuz,Christian,Uncertain,8,Evidence on doing well by doing good mixed. Metastudy finds small pos. association btw corp social & financial performance;tricky estimation,Uncertain,5,Depends on non-classical&non-monetary preferences of Norwegians. Possible but hard to know. Note also global fund invests outside of Norway.
Mayer,Thierry,No Opinion,,,Agree,4,
Meghir,Costas,Uncertain,6,,Agree,7,
Neary,Peter,Disagree,8,"An old debate. John Stuart Mill nailed it: private sector to maximize efficiency; public to look after distribution, social goals etc.",Agree,7,Weakly agree; tho main benefit of the Norwegian fund is as the poster-boy of how to manage windfalls to mitigate the natural resource curse
O'Rourke,Kevin,No Opinion,,,Agree,5,Norwegian welfare depends not just on financial returns but on the feeling that society is behaving responsibly.
Pagano,Marco,Uncertain,8,,Strongly Agree,8,
Pastor,Lubos,Disagree,8,Firm shareholders do not fully internalize the benefits of such initiatives; they effectively subsidize the rest of society.,Disagree,8,Norwegians as a whole do not fully internalize the benefits of such investments; they effectively subsidize the welfare of non-Norwegians.
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Uncertain,6,Without government incentives the statement about private returns is wrong. But there could be tax advantages that make it true,Agree,8,"Norwegians feel very strongly about environmental issues, so they are happier - broader welfare concept"
Portes,Richard,Uncertain,4,,Agree,5,
Prendergast,Canice,Disagree,7,,Agree,4,
Reichlin,Lucrezia,Agree,5,,Strongly Agree,5,
Repullo,Rafael,Uncertain,6,,Agree,6,
Rey,Hélène,Agree,8,Current literature finds this.,Agree,8,No trade-off if investments well picked. (and a positive externality from which Norwegians also benefit)
Schoar,Antoinette,Disagree,8,,Uncertain,7,
Sturm,Daniel,Disagree,5,,Agree,5,
Van Reenen,John,Disagree,4,,Uncertain,4,
Vickers,John,Disagree,5,,Uncertain,3,
Voth,Hans-Joachim,Uncertain,10,,Agree,6,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Uncertain,3,Companies most likely see CSP initiatives as part of a broader marketing budget. It may suit some to do more than others.,Agree,5,Hard to sum this up with such a short question. All countries have an interest in co-operative behavior that reduces risks of climate change
Wyplosz,Charles,Uncertain,1,This assumes that: 1) They are efficiently run; 2) Their choices do reflect social preferences.,Uncertain,1,"With fungible financial resources, does it make a difference behind good conscience? Is good conscience in the welfare function?"
Zilibotti,Fabrizio,Disagree,5,,Disagree,5,
