Last Name,First Name,"Germany’s chancellor Friedrich Merz has recently called for the Russian central bank’s assets that are frozen in Europe to be made available for the defense of Ukraine: https://www.ft.com/content/3aacc930-9f5e-4558-90f1-62bf47a31cd5

Making use of frozen Russian state assets to support Ukraine’s defense would substantially accelerate the ending of the war.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Making use of frozen Russian state assets to support Ukraine’s defense would substantially reduce investment in assets issued by European economies.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Making use of frozen Russian state assets to support Ukraine’s defense would substantially increase the likelihood of another country seizing Western sovereign assets in a future conflict.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Disagree,4,I doubt if the seizing of the assets or borrowing against them as I understand the current plan involves will make much difference to the end date.  It will make it easier for the Europeans to fund the continuation.,Uncertain,3,I doubt it will have much effect in the short or medium term. A lot will depend on what happens in negotiations about ending the war.  But they could still be a long way off.,Uncertain,3,It would be interesting to know how many assets would be held in places where this is likely.  I'm not sure of the magnitude of these funds.
Antras,Pol,Uncertain,5,,Disagree,6,,Disagree,6,
Bénassy-Quéré,Agnès,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,7,,Agree,1,,Agree,7,i have no pb with the idea that a country which starts a war potentially loses some of its assets abroad.  Seems fine ex ante.  
Blundell,Richard William,Agree,5,,Uncertain,4,,Disagree,3,
Botticini,Maristella,Agree,8,,Uncertain,8,,Uncertain,8,
Carletti,Elena,Uncertain,6,,Disagree,6,,Agree,6,
Danthine,Jean-Pierre,Agree,2,,Uncertain,1,,Agree,2,
De Grauwe,Paul,Agree,7,,Disagree,8,,Uncertain,5,
Eeckhout,Jan,Agree,4,,Uncertain,4,,Agree,4,
Fuchs-Schündeln,Nicola,Uncertain,3,,Disagree,4,,Agree,5,
Galí,Jordi,Uncertain,4,,Disagree,5,,Uncertain,5,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Strongly Agree,10,,Strongly Disagree,10,,Strongly Disagree,10,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Agree,2,,Uncertain,4,,Uncertain,2,
Guiso,Luigi,Uncertain,5,,Disagree,6,,Agree,6,
Guriev,Sergei,Agree,8,,Uncertain,5,,Uncertain,5,
Honohan,Patrick,Uncertain,6,"Maybe so, if this means a substantial increase in support.  But using these funds mainly as a substitute — as a way to reduce the cost to Europe of supporting Ukraine in the war — would not help Ukraine (and would preclude their use for post war reconstruction). ",Disagree,6,"Directionally yes, but unlikely to be substantial in practice.",Disagree,1,Though maybe relevant for a small handful of countries.
Javorcik,Beata,Uncertain,1,,Agree,5,,Agree,5,
Kőszegi,Botond,Disagree,3,,Disagree,7,,Disagree,1,
Krahnen,Jan Pieter,Uncertain,5,"Making use of frozen assets could lead to larger volume of weapon delivery than otherwise, intensifying the war, with mixed effects on war duration, and also mixed effects on willingness to compromise in case of eventual ceasefire talks.",Agree,5,"One would expect to see a price reaction as far as the issuance of European debt is concerned, because investors might anticipate further confiscations of foreign claims on European assets, asking for a yield premium.",Agree,5,"Breaking an established convention in international finance, namely not to touch foreign state assets, will make it easier for there to be countries to seize asserts in comparable situations.  "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,No Opinion,,,Uncertain,1,,Uncertain,1,
Mayer,Thierry,Agree,5,,Disagree,6,,Disagree,6,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Strongly Agree,7,,Agree,7,,Agree,7,
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,9,,Strongly Disagree,10,,Strongly Disagree,10,
Prendergast,Canice,Disagree,4,,Agree,4,,Agree,5,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,6,"I am not a military expert, but this is quite a bit of money.",Disagree,7,The trigger for seizing the assets is an outright illegal and illegitimate invasion of another country. This is both rare and clear enough to not open others to the risk of arbitrary seizures in the future.,Agree,7,"If the Western country illegitimately invaded another country, killing of wounding hundreds of thousands of people, then yes, their assets will more likely be seized. May that serve as a deterrent of such tragedy. "
Repullo,Rafael,Agree,3,,Disagree,3,,Disagree,3,
Schoar,Antoinette,No Opinion,,,Uncertain,7,The proposal calls for European states to make guarantees in case Ukraine does not repay. Guarantees are not free. For Europe it is not clear if the potential cost to its ambition to be a reserve currency outweigh the benefits of the proposal. ,Agree,7,
Storesletten,Kjetil,Agree,3,Unclear whether this will be enough to strengthen Ukraine in a meaningful way,Uncertain,3,,Disagree,3,"The risk that Western sovereign assets could be confiscated in a future conflict is already there, regardless of what the West does in this case"
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Tenreyro,Silvana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Agree,6,,Disagree,6,,Uncertain,6,
Vickers,John,Uncertain,3,,Disagree,4,,Uncertain,3,
Voth,Hans-Joachim,Strongly Agree,10,,Strongly Disagree,10,,Disagree,9,
Wyplosz,Charles,Agree,2,,Disagree,4,,Uncertain,2,
