Last Name,First Name,A baseline US tariff of 10% on all European imported goods would have substantially damaging economic consequences for many countries in Europe.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Rather than responding to threatened tariffs with retaliatory measures, unilaterally opening EU markets to US exports would deliver better outcomes for European industry.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Disruptions to global supply chains from new tariffs and trade wars will lead to measurably slower global growth over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,4,A 10% tariff is probably damaging but it's uncertain whether it would substantially damaging.  This is especially true in the long run as they firms take mitigating actions.,Uncertain,4,"It's difficult to say without knowing what the US reaction would be to retaliation and to opening markets to US firms.  If opening markets to US firms leads to trade deficits with the US, will the US remove the tariff?  Similarly with imposing a tariff on US firms. ",Agree,4,There may well be damage to growth.  This is true in the short run but particularly in the long run if competition is reduced and innovation is reduced as a result.
Antras,Pol,Agree,5,"Substantial is a bit vague, but for some sectors, a 10% US tariff can create substantial negative effects.",Agree,9,"I know it is somewhat counterintuitive, but the EU would gain much from not escalating and selling itself as an economic area in which one can do business without capricious policy disruptions.",Strongly Agree,6,"I am not so sure about the effects on the long-run growth rate, but yes, the short-run negative impact will affect overall economic growth over the next five years."
Bénassy-Quéré,Agnès,Uncertain,8,"The damage depends on whether the 10% tariff is the same for all US imports, or whether it varies across supplier countries. ",Disagree,10,,Strongly Agree,10,
Blanchard,Olivier,Agree,7,the effects would depend very much on the degree to which the tariffs are offset by a euro depreciation,Disagree,7,"i think the structure of the game is a prisoner's dilemma.  Once the US puts tariffs, it is very likely that the best response is to do the same.  ",Agree,7,"leaving aside the permanent efficiency losses from less trade, the reallocation implied by the tariffs is likely to have substantial adverse effects in the short run"
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Agree,6,,Agree,6,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,4,It seems to me that it would depend very much on the evolution of the dollar,Uncertain,4,"In principle I lean in favor of this statement modulo the fact that not excluding some, notably agricultural, products from this unilateral opening is likely to create havoc rather than better outcomes",Strongly Agree,4,
De Grauwe,Paul,Agree,7,,Uncertain,6,,Agree,7,
Eeckhout,Jan,Agree,7,,Uncertain,7,,Agree,9,
Freixas,Xavier,Strongly Agree,3,,Uncertain,5,"The issue may  be industry specific. In some industries it may be better to retaliate, in others to provide open access to US exports",Strongly Agree,1,
Fuchs-Schündeln,Nicola,Uncertain,4,,Uncertain,5,,Agree,8,
Galí,Jordi,Disagree,7,,Agree,7,,Agree,7,
Garicano,Luis,Strongly Agree,8,,Disagree,6,"This is a transactional president. If he thinks he can dominate Europe, he will. ultimately, that will be worse for European industry.",Uncertain,6,
Gorodnichenko,Yuriy,Agree,3,,Agree,4,,Agree,5,
Griffith,Rachel,Strongly Agree,8,,Agree,5,,Agree,5,
Guerrieri,Veronica,Uncertain,9,,Agree,8,,Agree,8,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guriev,Sergei,Agree,6,,Uncertain,8,,Strongly Agree,8,
Honohan,Patrick,Agree,6,But a uniform tariff is likely less damaging than targetted measures would be. Exchange rate movements could offset much.  ,Disagree,4,"Unilateral tariff elimination might have merits, but not effective as a retaliation. It is not clear, though, that retaliatory tariffs would be the most effectively response for promoting future global prosperity. ",Agree,6,
Javorcik,Beata,Strongly Agree,10,,No Opinion,,,Strongly Agree,9,
Kőszegi,Botond,Agree,10,,Uncertain,3,,Agree,6,
Krahnen,Jan Pieter,Agree,3,,Uncertain,4,"This is a ceteris-paribus statement. But in reality there will be a sequence of actions, and whether or not to retaliate will have an impact on next round tariff decisions in the US.",Agree,4,"I tend to agree, but I also believe that the overall effect may be small, due to the re-organization of supply chains. "
La Ferrara,Eliana,Strongly Agree,8,,Uncertain,4,,Strongly Agree,8,
Leuz,Christian,Agree,4,,Uncertain,3,"From a pure economic perspective, it would likely be better not to respond. Retaliatory tariffs also have negative consequences for the country that imposes them. However, there are complicated strategic and long-run economic considerations that make the answer uncertain",Agree,4,
Mayer,Thierry,Agree,9,"While the increase from the current average MFN to 10%  is not trivial, the US is rarely a major destination for EU countries/industries, which will dampen the macro-level effect. ",Strongly Disagree,8,"In a world where countries (or firms located within) have market power, unilateral opening in response to your partner raising its tariffs is rarely an optimal response (not even mentioning the internal political economy issues).",Agree,7,
Meghir,Costas,Agree,9,,Agree,9,,Agree,9,
Pagano,Marco,Agree,5,,Uncertain,1,,Strongly Agree,8,
Pastor,Lubos,Agree,2,,Uncertain,2,,Agree,2,
Portes,Richard,Disagree,10,"I’m assuming it wouldn’t be just Europe. So USD up, maybe not 10%, but enough to mitigate effects on European exports. And if no rise in US S-I, then US current account doesn’t change, US aggregate imports don’t change much.",Agree,8,They are fairly open now. ,Agree,10,"If retaliation spiral, then effects on trade will be significant, and experience of early 1930s becomes relevant. "
Prendergast,Canice,Agree,5,,Uncertain,5,,Agree,4,
Propper,Carol,Agree,4,It would be damaging for Germany and that would be damaging for other European countries.,Strongly Agree,4,,Agree,5,
Rasul,Imran,Disagree,6,,Agree,6,,Strongly Agree,6,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,7,Economic damage to the US may well be greater.,Agree,3,"Depends on industry by industry, overall maybe yes.",Agree,8,
Repullo,Rafael,Uncertain,4,,Uncertain,4,,Strongly Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,8,,Uncertain,7,,Agree,9,
Storesletten,Kjetil,Disagree,4,,Agree,4,,Agree,5,
Sturm,Daniel,Agree,8,,Uncertain,5,"Retaliation does not make sense in terms of economics, but the political economy is different. ",Agree,5,
Tenreyro,Silvana,Agree,8,,Uncertain,3,"The answer depends, amongst other factors, on whether potential tariffs are permanent or temporary. From EU's perspective, a limited and more selective retaliation might be less damaging than a blanket-all sectors retaliation.",Strongly Agree,7,I would expect growth with tariffs and trade disruptions to be lower than without. The projections for the next 5 years are very strong to start with. Tariffs will detract from that high baseline. 
Van der Ploeg,Rick,Agree,7,,Agree,5,,Agree,7,
Vickers,John,Uncertain,4,"The effects, including for exchange rates, depend on what US tariffs apply to rest of world.  The question doesn’t specify that. ",Uncertain,4,Retaliation would be unwise but negotiation could make sense,Agree,4,
Voth,Hans-Joachim,Agree,4,,Agree,3,,Agree,6,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,6,,Uncertain,6,It would be good for consumers but likely to hurt some specific industries.,Strongly Agree,5,
