Last Name,First Name,"The US spends roughly 17% of GDP on healthcare, according to the OECD; most European countries spend less than 12% of GDP.



Higher quality-adjusted US healthcare prices contribute relatively more to the extra US spending than does the combination of higher quantity and quality of US care (interpreting quantity and quality to reflect both greater American healthcare needs due to underlying population health and the delivery of more or better healthcare services to Americans).",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,5,"The US healthcare system is badly broken. Of course there are other factors, but US has lower life expectancy than Greece, Costa Rica, Chile"
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,Agree,3,
Autor,David,Uncertain,1,
Baicker,Katherine,Uncertain,5,
Banerjee,Abhijit,Agree,7,
Bertrand,Marianne,Strongly Agree,4,
Brunnermeier,Markus,Agree,7,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Uncertain,8,"Prices are ABSOLUTELY a contributor to the %GDP gap between US and Europe, but I hesitated to commit to ""relatively more"" in the question."
Cutler,David,Uncertain,8,"The single biggest contributor is admin costs. This shows up as prices, but should be separate. 1) Admin; 2) Prices; 3) Quantity"
Deaton,Angus,Strongly Agree,10,
Duffie,Darrell,Uncertain,1,
Edlin,Aaron,Agree,7,
Eichengreen,Barry,Uncertain,5,
Einav,Liran,Disagree,7,
Fair,Ray,Agree,5,
Finkelstein,Amy,Disagree,7,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Strongly Agree,9,
Greenstone,Michael,Uncertain,6,Prices are a factor but evidence on relative magnitudes is not decisive
Hall,Robert,Agree,8,"Talented and trained people make much higher incomes in the US than in Europe, and health care is human-capital intensive."
Hart,Oliver,Agree,6,
Holmström,Bengt,Agree,2,
Hoxby,Caroline,Uncertain,10,I am confident that this is an extremely hard question to answer for many reasons. I have views but would be persuadable by better evidence.
Hoynes,Hilary,Agree,5,
Judd,Kenneth,Agree,3,
Kaplan,Steven,Uncertain,6,
Kashyap,Anil,No Opinion,,
Klenow,Pete,Agree,3,The U.S. seems to incentivize a disproportionate share of research through higher markups.
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,6,
Nordhaus,William,Agree,6,
Saez,Emmanuel,Strongly Agree,8,
Samuelson,Larry,Agree,8,
Scheinkman,José,Uncertain,5,
Schmalensee,Richard,Agree,3,
Shapiro,Carl,Agree,3,
Shimer,Robert,Uncertain,1,
Stock,James,Disagree,1,
Thaler,Richard,Agree,7,
Udry,Christopher,Strongly Agree,5,The evidence is pretty strong that prices drive much of the difference.
