Last Name,First Name,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Not exactly sure what the question is suggesting.
Antras,Pol,Uncertain,2,The fact that ideas are nonrival points to aggregate increasing returns to scale in the production of goods (not in technical change)
Bénassy-Quéré,Agnès,Uncertain,1,I am not sure this is just due to ideas being non-rival.
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,8,
Bloom,Nicholas,Strongly Agree,8,Key idea in modern economics
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,No Opinion,,
Danthine,Jean-Pierre,Did Not Answer,,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Agree,9,
Fehr,Ernst,Agree,8,
Freixas,Xavier,Strongly Agree,7,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,9,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Uncertain,10,
Griffith,Rachel,Strongly Agree,9,
Guerrieri,Veronica,Agree,6,
Guiso,Luigi,Did Not Answer,,
Honohan,Patrick,No Opinion,,The premise is OK but the inference seems too vaguely sweeping...
Javorcik,Beata,Agree,8,
Kőszegi,Botond,Disagree,3,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,
Krusell,Per,Agree,8,"For motivation, see the brilliant document provided by the prize committee! :-)
IRS also requires at least CRS in non-idea inputs. "
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,6,Non-rivalry gives rise to increasing returns to scale; most ideas are non-rival (unless protected) and central to technological change.
Mayer,Thierry,Strongly Agree,9,
Meghir,Costas,Did Not Answer,,
Neary,Peter,Agree,8,"Ideas can be protected, and imitation is costly, but the statement is broadly correct, with huge implications for R&D and antitrust policy "
O'Rourke,Kevin,Did Not Answer,,
Pagano,Marco,Strongly Agree,8,
Pastor,Lubos,Did Not Answer,,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,5,
Prendergast,Canice,Agree,8,
Reichlin,Lucrezia,Agree,5,
Repullo,Rafael,Agree,5,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Agree,4,
Sturm,Daniel,Strongly Agree,7,
Van Reenen,John,Agree,8,Ideas are non-rival hence do not get constant returns to scale at macro-level because standard replication argument breaks down. 
Vickers,John,Agree,7,Assuming the question means increasing returns in production of output (as distinct from production of new technologies)
Voth,Hans-Joachim,Agree,6,
Weder di Mauro,Beatrice,Did Not Answer,,
Whelan,Karl,Uncertain,5,Nonrivalry of ideas is important for growth and means there are positive externalities to research. Does not have to mean economy-wide IRS.
Wyplosz,Charles,Agree,7,
Zilibotti,Fabrizio,Strongly Agree,10,
