Last Name,First Name,Loans to students attending for-profit colleges are especially risky because students attending them have had default rates that greatly exceed those for comparable students attending public and non-profit private institutions.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Rules that tie each college's eligibility for federal student loans to its students' graduation rates and post-schooling employment outcomes would better protect taxpayers from losses on student loans.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,,Agree,6,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,8,,Agree,7,A tie to default rates would also help.
Auerbach,Alan,No Opinion,,,No Opinion,,
Autor,David,Strongly Agree,10,"See Deming, Goldin and Katz 2012 in Journal of Economic Perspectives",Strongly Agree,10,
Baicker,Katherine,Agree,3,,Uncertain,3,
Bertrand,Marianne,Agree,3,,Agree,3,
Chetty,Raj,Agree,7,,Agree,7,
Chevalier,Judith,Agree,9,,Agree,9,The government is now residual claimant for the school's activities.  There may be alternative ways to do this.
Currie,Janet,Agree,7,,Agree,7,
Cutler,David,Uncertain,1,,Agree,4,
Deaton,Angus,Disagree,5,"Seems misphrased. Surely not ""because""?  Rather than both consequences of other factors",Agree,4,
Duffie,Darrell,No Opinion,,,Agree,1,Sounds reasonable that loans should not be provided if they are not having a sufficiently good measured impact.
Edlin,Aaron,Agree,9,,Agree,7,Note though that high graduation rates may be manipulable.
Eichengreen,Barry,Agree,5,,Agree,5,
Fair,Ray,Agree,5,,Agree,5,
Goldberg,Pinelopi,No Opinion,,,Uncertain,1,Outcomes need to be measured. But graduation rates can be manipulated. Employment outcomes are a better criterion.
Goldin,Claudia,Strongly Agree,10,,Agree,10,"The policies should not be at the college/univ level but should be at the PROGRAM level.  Better than nothing, though."
Goolsbee,Austan,Strongly Agree,9,,Agree,4,if done right.
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Holmström,Bengt,Did Not Answer,,,Did Not Answer,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Disagree,7,Perhaps these students were high default risks no matter what schools they attended. Cannot infer causation from correlation.,Agree,7,"Conclusion is obvious, but does not support the policy. The proper goal is to improve students' lives on average, not avoid loan losses."
Kashyap,Anil,Agree,7,,Agree,1,"Depends on not forbearing, or picking up costs of past bad private loans.  Will the government really put lots of people in debtors prison?"
Klenow,Pete,Strongly Agree,4,,Strongly Agree,4,
Lazear,Edward,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Agree,3,"Agreeing with some caution: default rates are higher on average (see link), but don't know the evidence on whether students are comparable.",No Opinion,,"Sounds plausible, but don't know have enough expertise on current program to feel very confident about it."
Maskin,Eric,Uncertain,7,Depends on whether the characteristics leading a student to default are observable and independent of attendance at a for-profit school.,Uncertain,7,May just drive students who were likely to default anyway to different colleges
Nordhaus,William,Agree,5,,Uncertain,1,
Obstfeld,Maurice,No Opinion,,,No Opinion,,
Saez,Emmanuel,Agree,2,,Agree,4,
Scheinkman,José,No Opinion,,,Strongly Agree,5,
Schmalensee,Richard,Agree,3,"Haven't seen numbers except in the press; don't understand the nature of ""default"" here.",Agree,6,"Much could depend on the nature of the ""tie.""  If this were done well it could also affect competition for students in a positive way."
Shin,Hyun Song,Uncertain,3,,Disagree,3,
Stokey,Nancy,No Opinion,,,No Opinion,,
Thaler,Richard,No Opinion,,Presumes facts that I do not know to be true.,Uncertain,3,Hard to know without more details.  The no brainer is to require better disclosure.  You should have asked about that.
Udry,Christopher,Uncertain,1,"I don't know of work that has been able to compare default for ""comparable students""; the pools attending are very different.",Agree,4,Better incentives for colleges seem appropriate here.
Zingales,Luigi,No Opinion,,If the fact is correct ( I do not know ) I agree,Strongly Agree,9,
