Last Name,First Name,Network externalities give Twitter an incumbent advantage that will slow substantially the migration of users who would prefer alternative platforms.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"As of now, there needs to be more government regulation around Twitter’s content moderation and personal data protection.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,6,Twitter is widely used and extensively reported on. It is difficult for any rival to challenge this as President Trump's experience demonstrates.,Disagree,5,Free speech within the bounds of the law is an important freedom.
Antras,Pol,Agree,7,,Agree,6,
Bénassy-Quéré,Agnès,Strongly Agree,10,,Agree,6,
Blanchard,Olivier,Strongly Agree,8,This is something that we are all experiencing... ,Agree,5,"Twitter has incentives to get clicks, and thus to allow extreme views and intense, polarizing, discussions.  Not the same as optimizing distribution of information"
Bloom,Nicholas,Strongly Agree,8,,Uncertain,7,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Disagree,8,,Uncertain,8,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,4,,Agree,4,
De Grauwe,Paul,Agree,7,,Strongly Agree,8,
Eeckhout,Jan,Strongly Agree,10,,Strongly Agree,9,
Fehr,Ernst,Strongly Agree,9,,Agree,8,
Freixas,Xavier,Strongly Agree,5,,Disagree,5,Government intervention can lead to censuring criticism to the Government. International self regulation of this type of platforms may be better 
Fuchs-Schündeln,Nicola,Agree,9,,Uncertain,5,
Galí,Jordi,Strongly Agree,6,,Agree,6,
Gorodnichenko,Yuriy,Agree,7,,Agree,5,
Griffith,Rachel,No Opinion,,,Strongly Agree,7,
Guerrieri,Veronica,No Opinion,,,Agree,3,
Guiso,Luigi,Strongly Agree,7,,Uncertain,7,
Guriev,Sergei,Strongly Agree,8,,Agree,7,
Honohan,Patrick,Agree,1,But the new owner is acting in such an undisciplined manner that a tipping point could come more quickly than would otherwise happen,Agree,1,Again the chaotic management of Twitter since the purchase makes regulation more important than before
Javorcik,Beata,Strongly Agree,10,,Agree,10,
Kőszegi,Botond,Strongly Agree,10,,Agree,5,
Krahnen,Jan Pieter,Strongly Agree,5,"Evident. The problem is more sever if there were more than one „challenger“ apps to Twitter, because of a coordination problem.",Strongly Agree,5,"Whatnis required iis not so much content regulation,  but identity revelation, so that the right to free speech is accompanied by full personal responsibility."
La Ferrara,Eliana,Strongly Agree,8,,Agree,2,
Leuz,Christian,Agree,6,,No Opinion,,
Mayer,Thierry,Agree,7,,Agree,4,
Meghir,Costas,Agree,9,,Agree,9,
Pagano,Marco,Agree,5,,Agree,5,
Pastor,Lubos,Agree,3,,Uncertain,5,"Twitter has been forced to censor users due to its advertising-based business model. If it ends up switching to a subscription-based model, it may not need to censor any more. Concerns about Twitter suppressing free speech may thus go away even without government regulation."
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,4,,Strongly Agree,4,
Prendergast,Canice,Agree,7,,Uncertain,8,
Propper,Carol,Agree,5,,Strongly Agree,5,
Rasul,Imran,Agree,8,,Agree,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Uncertain,6,,Disagree,4,Depends on which type of regulation. Some forms of government regulation of media content are tools for totalitarianism.
Repullo,Rafael,Agree,4,,Disagree,4,
Rey,Hélène,Strongly Agree,9,,Strongly Disagree,9,
Schoar,Antoinette,Strongly Agree,8,,Strongly Agree,9,"A private firm benefiting from strong network externalities, does not have the same incentives to protect user data, that people would like. And since there is no meaningful competition, users do not have a choice to express their preferences by switching suppliers."
Storesletten,Kjetil,Agree,6,,Agree,3,
Sturm,Daniel,Agree,8,,Strongly Agree,8,
Van der Ploeg,Rick,Disagree,4,There are already plenty of other platforms to choose from.,Agree,5,
Van Reenen,John,Strongly Agree,9,Re-building followers will take substantial time for switchers,Agree,9,
Vickers,John,Agree,4,,Uncertain,3,
Voth,Hans-Joachim,Agree,7,,Agree,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,4,,Strongly Agree,5,"It's not just Twitter. All social media should be regulated like the printed media. In Europe, they are liable for providing fake news, spreading hatred and racism, etc. "
