Last Name,First Name,"Credible assumptions for inflation, GDP growth and primary budget deficits in Italy imply that either the Debt-to-GDP ratio in Italy would increase sharply if Italian
interest rates on 10-year government debt remained at the November 30 level of around 7 percent or Italy would lose access to the bond market.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Absent outside help to deal with runs, such as a pledge of fiscal support from Germany or an unlimited commitment by the ECB to buy bonds, there is no spending-and-tax plan Italy can announce that would be credible enough to hold its interest rates low enough to stabilize its Debt-to-GDP ratio.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,5,The question presumes that there is no possibility of debt restructuring that could keep debt to GDP stable and grant access to bond markets,Uncertain,4,This question again rules out the possibility of debt restructuring. Also not clear that effective ECB commitments must be unlimited.
Alesina,Alberto,Strongly Agree,9,these rates are unsutainable but a program of deep structural reforms and budget tightening could reestablish credibilty of reduce spreads,Agree,9,italy needs deep domestic refroms and a solution of the eurpoean French-German impasse on the role of the ECB
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Agree,5,,Disagree,5,
Autor,David,No Opinion,,,No Opinion,,
Baicker,Katherine,No Opinion,,,No Opinion,,
Bertrand,Marianne,No Opinion,,,Disagree,1,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,2,"This is not really my area, though I nonetheless understand the question to be roughly true.  ",Agree,2,"Again, this is definitely not my area, and I might have preferred the question to include a ""likely"", but I believe it is likely to be true."
Currie,Janet,No Opinion,,,No Opinion,,
Cutler,David,No Opinion,,,Uncertain,1,
Deaton,Angus,Agree,3,,Agree,3,
Duffie,Darrell,Agree,4,"Not necessarily ""sharply"" in time, but significantly over time, yes, absent some other big structural shift. ",Uncertain,3,"I am pessimistic, absent outside help, but this is a strong statement that Italy has no way at all to do it on its own. I'm uncertain."
Edlin,Aaron,Agree,7,Italy as a problem likely to get worse before it gets better.,Agree,7,Something big by way of a guarantee is the surest way to stability of italian bonds.
Eichengreen,Barry,Strongly Agree,9,,Agree,5,
Fair,Ray,No Opinion,,This question is too confusing to answer. ,Agree,4,Hard to know what others would take as credible.  Really a psychological question.  
Goldberg,Pinelopi,Agree,6,,Agree,5,
Goldin,Claudia,No Opinion,,,No Opinion,,
Goolsbee,Austan,Agree,7,not good. not good.,Agree,7,"without growth, all the austerity you can muster will not solve the problem"
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Agree,7,Zero real GDP growth and huge outstanding debt make the deficit growth high even though Italy has a small primary surplus.,Agree,3,"This is a question about Italian politics where I'm no expert, but progress so far in lowering real wages and improving TFP has been small."
Holmström,Bengt,Agree,4,,Agree,5,"Stabilization requires short-term outside liquidity support, a credible long-term fiscal plan along with lower interest rates. Go together."
Hoxby,Caroline,Agree,9,"At those interest rates, Italy's interest payments will become an ever increasing share of its govt budget, under any plausible tax scenario",Agree,8,A political economy question on the spending side!  (The tax side is fairly clear.)  It fits my knowledge of Italy's ability to cut spending
Judd,Kenneth,No Opinion,,,No Opinion,,
Kashyap,Anil,Strongly Agree,10,Basic arithmetic of debt dynamics shows that this constellation cannot persist.  ,Agree,7,"Hard call, you can't say the country is insolvent  -- but how will Italy roll all of its debt if there is no outside support?  "
Klenow,Pete,Agree,5,"Debt 120%, deficit 4%, growth 4% (nominal) --> ratio falling.  Higher rates (say pushing the deficit on a path toward 8%) --> ratio rising.",Uncertain,5,
Lazear,Edward,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Agree,3,"Not sure about ""sharply"" but seems hard to lower debt-to-GDP at those interest rates without better growth prospects.",Uncertain,2,
Maskin,Eric,Agree,8,,Disagree,7,
Nordhaus,William,No Opinion,,,No Opinion,,
Obstfeld,Maurice,Strongly Agree,10,"Hard to imagine any feasible austerity plan that would work at 7% or more, given the negative effect on real GDP growth and inflation.",Agree,8,"Credibility is the key, so ""outside help"" to keep borrowing cost down would be a critical element in success of any austerity plan."
Rouse,Cecilia,No Opinion,,,No Opinion,,
Saez,Emmanuel,Agree,3,,Agree,3,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Uncertain,1,Simply have not done the necessary quantitative work.,Uncertain,1,Simply have not done the necessary quantitative work.
Shin,Hyun Song,Agree,8,,Agree,8,
Stock,James,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Strongly Agree,9,,Strongly Disagree,9,"Modest spending cuts, together with substantial regulatory reform, would probably solve the problem. "
Thaler,Richard,No Opinion,,,No Opinion,,Above my pay grade. 
Udry,Christopher,No Opinion,,,No Opinion,,
Zingales,Luigi,Agree,6,,Agree,6,
