Last Name,First Name,Requiring Facebook to divest WhatsApp and Instagram is likely to make society better off.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,,,,,,,,,,,,,,
Allen,Franklin,Did Not Answer,,,,,,,,,,,,,,,,
Antras,Pol,Uncertain,5,,,,,,,,,,,,,,,
Bandiera,Oriana,Agree,8,,,,,,,,,,,,,,,
Blanchard,Olivier,Agree,4,,,,,,,,,,,,,,,
Bloom,Nicholas,Disagree,8,I do not think Governments should be so massively altering private sector firm structures like this unless absolutely necessary.,,,,,,,,,,,,,,
Blundell,Richard William,Agree,5,,,,,,,,,,,,,,,
Carletti,Elena,Uncertain,4,,,,,,,,,,,,,,,
Danthine,Jean-Pierre,Strongly Agree,3,,,,,,,,,,,,,,,
De Grauwe,Paul,Agree,8,,,,,,,,,,,,,,,
Eeckhout,Jan,Strongly Agree,9,,,,,,,,,,,,,,,
Fehr,Ernst,Agree,8,,,,,,,,,,,,,,,
Freixas,Xavier,Did Not Answer,,,,,,,,,,,,,,,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,,,,,,,,,,,,,,
Galí,Jordi,Agree,6,,,,,,,,,,,,,,,
Giavazzi,Francesco,Agree,5,,,,,,,,,,,,,,,
Griffith,Rachel,Agree,6,Difficult to say though as I think most social media has negative welfare effects.,,,,,,,,,,,,,,
Guerrieri,Veronica,Agree,6,,,,,,,,,,,,,,,
Guiso,Luigi,Uncertain,5,,,,,,,,,,,,,,,
Guriev,Sergei,Agree,7,,,,,,,,,,,,,,,
Honohan,Patrick,Agree,3,,,,,,,,,,,,,,,
Javorcik,Beata,Agree,7,,,,,,,,,,,,,,,
Kőszegi,Botond,Strongly Agree,10,,,,,,,,,,,,,,,
Krahnen,Jan Pieter,Agree,5,"The two major elements in restoring consumer sovereignty are: strong(er) data protection rights, and competition in the use of data. ",,,,,,,,,,,,,,
La Ferrara,Eliana,Strongly Agree,6,,,,,,,,,,,,,,,
Leuz,Christian,Uncertain,4,"Uncertain, not because there is no issue; many good reasons to take action. But not clear breakup best solution. Need new approach for DPs",,,,,,,,,,,,,,
Mayer,Thierry,Agree,7,,,,,,,,,,,,,,,
Meghir,Costas,Agree,8,,,,,,,,,,,,,,,
Neary,Peter,Strongly Agree,7,"Clearly a reduction in market power, reducing ability to coordinate across brands, would raise consumer and total welfare",,,,,,,,,,,,,,
Pagano,Marco,Strongly Agree,10,"After acquiring Instagram & WhatsApp, Facebook has monopolized the social network mkt. Breaking it up would restore competition in this mkt.",,,,,,,,,,,,,,
Pastor,Lubos,Uncertain,3,,,,,,,,,,,,,,,
Persson,Torsten,Agree,5,,,,,,,,,,,,,,,
Pissarides,Christopher,Did Not Answer,,,,,,,,,,,,,,,,
Portes,Richard,Strongly Agree,7,,,,,,,,,,,,,,,
Prendergast,Canice,Uncertain,7,,,,,,,,,,,,,,,
Propper,Carol,Agree,4,,,,,,,,,,,,,,,
Rasul,Imran,Agree,5,,,,,,,,,,,,,,,
Reichlin,Lucrezia,Agree,3,,,,,,,,,,,,,,,
Repullo,Rafael,Agree,4,,,,,,,,,,,,,,,
Rey,Hélène,Agree,7,,,,,,,,,,,,,,,
Schoar,Antoinette,Agree,5,less concentration in social media is important. But the benefits to society depend on how the ownership of personal data will be regulated,,,,,,,,,,,,,,
Storesletten,Kjetil,Uncertain,3,"We lack a thorough understanding of products, competition, and market power in social media markets. Difficult to see quick fixes",,,,,,,,,,,,,,
Sturm,Daniel,Agree,8,,,,,,,,,,,,,,,
Van Reenen,John,Agree,7,,,,,,,,,,,,,,,
Vickers,John,Did Not Answer,,,,,,,,,,,,,,,,
Voth,Hans-Joachim,Uncertain,10,Not sure what we reliably know about welfare in this context.,,,,,,,,,,,,,,
Whelan,Karl,Disagree,5,,,,,,,,,,,,,,,
Wyplosz,Charles,Strongly Agree,4,,,,,,,,,,,,,,,
Zilibotti,Fabrizio,Uncertain,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
