Last Name,First Name,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Q4 - Topics
Aghion,Philippe,Did Not Answer,,,
Allen,Franklin,Agree,7,These kinds of taxes are beneficial in my view provided the technology for implementing them is sufficiently low cost.,
Antras,Pol,Strongly Agree,9,,
Bénassy-Quéré,Agnès,Uncertain,6,The citizens would likely be better off if the congestion charges were used to invest in public transportation. ,
Baldwin,Richard,Did Not Answer,,,
Besley,Timothy J.,Strongly Agree,8,"Congestion is a huge economic problem, especially in parts of the UK (such as London) which can be mitigated with more congestion charging.",
Blanchard,Olivier,Strongly Agree,10,"no brainer for an economist, so long as redistribution implications taken care of. ",
Bloom,Nicholas,Strongly Agree,10,,
Blundell,Richard William,Strongly Agree,9,"One of the key negative externalities of private car use in modern cities in congestion. Congestion charging can correct this, e.g. London. ",
Carletti,Elena,Agree,2,"I am not familiar with this topic, and I am not sure about the feasibility of the idea ",
Danthine,Jean-Pierre,Strongly Agree,10,,
De Grauwe,Paul,Agree,8,,
Eeckhout,Jan,Strongly Agree,10,,
Fehr,Ernst,Agree,7,,
Freixas,Xavier,Strongly Agree,8,Basic microeconomic theory of internalizing externalities (Pigouvian tax),
Fuchs-Schündeln,Nicola,Strongly Agree,8,,
Galí,Jordi,Agree,8,Efficient allocation of a scarce resource to those who value it more.,
Garicano,Luis,Did Not Answer,,,
Giavazzi,Francesco,Did Not Answer,,,
Griffith,Rachel,Strongly Agree,10,"Charges would shift some consumers quieter times and reduce congestion, lower taxes would compensate those paying higher fares.",
Guerrieri,Veronica,Agree,7,,
Guiso,Luigi,No Opinion,,,
Hellwig,Martin,Did Not Answer,,,
Honohan,Patrick,Agree,7,Depends on the way in which the taxes are rebated.,
Kőszegi,Botond,Strongly Agree,10,This is a typical externality.,
Kleven,Henrik,Strongly Agree,9,,
Krahnen,Jan Pieter,Uncertain,7,"Note that crowdedness is endogenous, and an allocation of proceeds to all citizens (rather than other transportation users) is third best.",
Krusell,Per,Strongly Agree,8,this approach works in theory and seems to also work in practice,
La Ferrara,Eliana,Agree,7,,
Leuz,Christian,Agree,6,Congestion pricing is like pricing externalities. But welfare effects are not entirely obvious. ,Unknown
Meghir,Costas,Strongly Agree,1,,
Neary,Peter,Strongly Agree,10,"Travelling on congested roads, no matter how desirable to the individual, imposes costs on other users which governments should internalise",
O'Rourke,Kevin,Agree,5,The average citizen is a fiction so I would like to know more about distributional implications of the charges & whose taxes will be cut.,
Pagano,Marco,Agree,4,"It is surely efficient, although it may also generate redistribution effects.",
Pastor,Lubos,Strongly Agree,9,,
Persson,Torsten,Strongly Agree,7,"Peak-load congestion charges have signficantly lowered traffic in Stockholm, London and other European cities. ",
Pissarides,Christopher,Strongly Agree,10,Congestion has negative externalities and the policy described compensates citizens for their costs,
Portes,Richard,Strongly Agree,10,London congestion charge worked - briefly. Just raise it!,
Prendergast,Canice,Strongly Agree,8,,
Reichlin,Lucrezia,Agree,5,,
Repullo,Rafael,Strongly Agree,8,,
Rey,Hélène,Agree,6,,
Schoar,Antoinette,Strongly Agree,9,,
Van Reenen,John,Strongly Agree,9,The most efficient way to make use of congested resources. Just lacks political will,
Vickers,John,Agree,8,Curbing externalities while raising revenue is doubly good.  But charging system may itself have cost.,
Voth,Hans-Joachim,Agree,8,,
Weder di Mauro,Beatrice,Strongly Agree,9,,
Whelan,Karl,Agree,7,"If we are going to tax things (and we have to) it's best to tax things that have negative effects such as congestion, alcohol, carbon etc.",
Wyplosz,Charles,Strongly Agree,10,"""On average"" is crucial because these measures have income redistribution effects that hurt some and benefit others. ",
Zilibotti,Fabrizio,Strongly Agree,10,,
