Last Name,First Name,Sustained tax and spending policies that boost consumption in ways that reduce the saving rate are likely to lower long-run living standards.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,8,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,8,
Auerbach,Alan,Agree,7,
Autor,David,Agree,5,
Baicker,Katherine,Agree,3,
Bertrand,Marianne,Agree,3,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,8,LONG run and sustained...
Currie,Janet,Uncertain,2,
Cutler,David,Uncertain,7,It depends what the spending is for.
Deaton,Angus,Strongly Agree,8,
Duffie,Darrell,Agree,4,"Boosting the short run implies a tradeoff, and a distortion in market incentives for long run efficient savings."
Edlin,Aaron,Agree,7,"lower long run savings is likely to lower long run living standards regardless of source.  likely, not certain."
Eichengreen,Barry,Uncertain,7,I would give a different answer depending on whether we were talking about Brazil or China.
Fair,Ray,No Opinion,,
Goldberg,Pinelopi,Agree,5,
Goldin,Claudia,Uncertain,3,Important question with an answer that depends on too many factors for a flippant response on my part.
Goolsbee,Austan,Agree,7,if we are talking long-run
Greenstone,Michael,Agree,7, 
Hall,Robert,Agree,8,Only an unlikely exotic economy could over come the basic principle that more now means less later.
Holmström,Bengt,Agree,5,
Hoxby,Caroline,Agree,8,"Artificial depression of saving, which is the (unintentional) effect of many govt policies, reduces welfare unless itoffsets some distortion"
Judd,Kenneth,Strongly Agree,9,
Kashyap,Anil,Agree,7,
Klenow,Pete,Strongly Agree,9,"Not everywhere and always, but probably here and now for most such policies."
Levin,Jonathan,Agree,3,
Maskin,Eric,Agree,7,
Nordhaus,William,No Opinion,,Poorly worded and loaded question.
Obstfeld,Maurice,Agree,8,
Saez,Emmanuel,Uncertain,5,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Agree,3,
Shin,Hyun Song,Uncertain,8,
Stokey,Nancy,Uncertain,8,"Unclear what is meant by a ""spending policy that boosts consumption."""
Thaler,Richard,No Opinion,,
Udry,Christopher,Agree,5,
Zingales,Luigi,Did Not Answer,,
