Last Name,First Name,Preserving the financial viability of France's state pension system is better achieved by raising the effective retirement age than by raising contributions while working.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Preserving the financial viability of France's state pension system is better achieved by raising the effective retirement age than by reducing benefits once retired.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,6,France already has very high social security taxes.  Raising them would have a significant deadweight loss.  Raising the retirment age has fewer distortions. Eliminating mandatory retirement at 65 would probably be an even better way.,Agree,6,Similar reasons to the previous question.
Antras,Pol,Agree,7,,Strongly Agree,8,
Bénassy-Quéré,Agnès,Strongly Agree,10,,Agree,10,Relative income of pensioners is high presently but should fall dramatically in the coming years due to indexation on prices rather than wages.
Blanchard,Olivier,Disagree,8,"It is a matter of social preferences, and whichever way it is done is fine with me. ",Disagree,8,"same answer.  matter of social preferences, and initial conditions.  If retirees are perceived as being better off than those who work, fairness argument may suggest some adjustment of benefits"
Bloom,Nicholas,Agree,9,We are living many years longer in retirement so retirement ages need to rise. The only feasible way to fund this - without slashing all other public spending - is later retirement ages. ,Uncertain,8,"Ideally the system would have a menu with age and retirement and levels of benefits. The challenge is people that retire so early they fall below essential living levels - what happens then? They can't starve, so we need minimums benefits and so minimum retirement ages."
Blundell,Richard William,Agree,8,,Agree,7,
Botticini,Maristella,Agree,8,,Agree,8,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Strongly Agree,7,,Agree,7,I would favor a more flexible system whereby the retirement age would not be mandated but left at the discretion of those concerned under actuarially fair conditions (and state subsidies for earlier retirement in case of penibility) 
De Grauwe,Paul,Agree,7,,Agree,7,
Eeckhout,Jan,Agree,6,,Agree,6,
Fehr,Ernst,Uncertain,8,,Uncertain,7,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,7,,Uncertain,4,
Galí,Jordi,Agree,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Agree,5,,Agree,5,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Strongly Agree,7,,Strongly Agree,7,
Guriev,Sergei,Strongly Agree,10,"The payroll taxes are already extremely high, further increase will suppress economic activity.",Agree,8,"The benefits are quite low, further reduction would result in major political backlash"
Honohan,Patrick,Agree,5,Contribution rates are already high--indeed so much so that there appears to be doubt about whether there is a financial sustainability issue. ,Agree,5,"62 is too young for most, given high expectation of life at that age.  Graduated retirement based on years of work or other considerations could also form part of an improved system."
Javorcik,Beata,Agree,5,,Agree,6,
Kőszegi,Botond,Strongly Agree,5,,Strongly Agree,5,
Krahnen,Jan Pieter,Agree,5,"Raising contributions to counter the demographic effect is probably not sustainable, while raising pension age is. The reason is that rising contributions may spur exits from the workforce, either by switching to the shadow economy, or by quitting altogether. ",Disagree,4,"I disagree with the either-or choice: Because there is another possible option: offering different retirement age-payment level  pairs, with equal present value (i.e., on an iso-PV-line) - to accommodate different preferences for work and pay level. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,2,The answer depends somewhat on the source of the problem. But longer life expectations are an important part of the problem that the system faces.,Agree,2,"Again, it depends on the problem. France is currently towards the lower end of the spectrum among developed countries and life expectancy has grown."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,8,,Strongly Agree,9,
Pagano,Marco,No Opinion,,,No Opinion,,
Pastor,Lubos,Strongly Agree,6,,Agree,6,"Reducing benefits would not jeopardize financial viability directly, but could do so indirectly, by increasing the likelihood of political unrest."
Persson,Torsten,Agree,7,,Agree,7,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Strongly Agree,7,
Prendergast,Canice,Agree,7,,Uncertain,7,
Propper,Carol,Strongly Agree,8,Macron expert commission analysis,Strongly Agree,4,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Disagree,4,,Agree,4,
Reis,Ricardo,Agree,6,,Agree,6,"Depends if focus is on efficient allowing for transfers, or if care about different groups winning or losing"
Repullo,Rafael,Strongly Agree,8,,Agree,8,
Rey,Hélène,Strongly Agree,8,,Agree,8,
Schoar,Antoinette,Strongly Agree,9,,Agree,7,
Storesletten,Kjetil,Strongly Agree,10,,Strongly Agree,9,Current benefits are locked in. Balancing the budget through future benefit reductions take a long time to have effects and therefore require very deep future cuts
Sturm,Daniel,Agree,3,62 is a low retirement age on European standards and from that perspective an obvious margin to adjust the system. ,Agree,3,
Van der Ploeg,Rick,Strongly Agree,7,"By more people working longer and postponing retirement, vacancies can be filled and the economy can grow upon which it becomes easier to finance retirement.",Agree,7,"Raising the effective retirement age will have some effect, but remember that the French get less pension when they retire before the official retirement age."
Van Reenen,John,Agree,6,,Agree,7,
Vickers,John,Agree,4,,Agree,4,
Voth,Hans-Joachim,Uncertain,5,People should be free to choose baswd on actuarially fair pension changes,Uncertain,5,
Whelan,Karl,Strongly Agree,7,"Given high life expectancy in France, the current arrangment are unfair to young people who are unlikely to able to obtain pensions on the current conditions available to old people. People who want to retire early should be encouraged to save to support this option.",Strongly Agree,9,Many European pension recipients are too old to work and rely heavily on their state pension. Asking them to work a few more years when still healthy to sustain relatively generous pensions when older is a fair compromise.
Wyplosz,Charles,Strongly Agree,9,,Strongly Agree,9,Reducing benefits would have raised hell with the people who complain about the law but ignore the notion of budget constraint.
