Last Name,First Name,"Trade with China makes most Americans better off because, among other advantages, they can buy goods that are made or assembled more cheaply in China.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Some Americans who work in the production of competing goods, such as clothing and furniture, are made worse off by trade with China.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,8,But with lots of caveats. There are many losers; transaction costs of reallocation and technology transfer have significant costs.,Agree,8,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Strongly Agree,8,,Strongly Agree,10,
Auerbach,Alan,Agree,7,,Agree,6,
Autor,David,Agree,9,,Strongly Agree,10,"Please see my paper with David Dorn and Gordon Hanson, ""The China Syndrome: Local Labor Market Impacts of Import Competition in the U.S."""
Baicker,Katherine,Agree,3,,Agree,3,
Bertrand,Marianne,Agree,2,,Agree,2,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Strongly Agree,9,,Agree,9,
Currie,Janet,Strongly Agree,8,,Agree,8,
Cutler,David,Agree,7,,Agree,7,
Deaton,Angus,Strongly Agree,9,,Strongly Agree,9,
Duffie,Darrell,Agree,3,,Agree,3,
Edlin,Aaron,Agree,8,,Strongly Agree,9,Someone loses from almost anything. 
Eichengreen,Barry,Agree,7,,Agree,7,
Fair,Ray,Strongly Agree,6,,Agree,5,
Goldberg,Pinelopi,Strongly Agree,10,,Strongly Agree,10,
Goldin,Claudia,Strongly Agree,5,,Strongly Agree,5,
Goolsbee,Austan,Agree,8,,Agree,8,
Greenstone,Michael,Strongly Agree,8,,Strongly Agree,7,
Hall,Robert,Strongly Agree,9,,Agree,8,
Holmström,Bengt,Agree,7,,Strongly Agree,9,
Hoxby,Caroline,Strongly Agree,10,,Uncertain,10,This may be true but it depends on how much they benefit from cheaper goods and what their costs of adjusting to new jobs is.
Judd,Kenneth,Strongly Agree,9,,Agree,8,"While they may lose due to trade with China, the US free trade policies are beneficial to them on average."
Kashyap,Anil,Strongly Agree,7,Failure to understand this is one of biggest common misperceptions by politicians and the general public,Agree,1,Over the medium run there should be some adjustment and if China were not in the picture some other country probably would be.
Klenow,Pete,Agree,8,Also expands the pool of talent using and producing ideas.,Strongly Agree,8,
Lazear,Edward,Agree,7,"Trade with China has lowered prices paid by the average consumer, in some sectors, by significant amounts.",Agree,7,"Although there are overall benefits, some, especially with specific skills, are hurt because they cannot transition costlessly to new jobs."
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Strongly Agree,8,,Agree,8,
Obstfeld,Maurice,Strongly Agree,10,,Strongly Agree,10,
Saez,Emmanuel,Agree,4,,Agree,6,
Scheinkman,José,Strongly Agree,9,,Agree,7,
Schmalensee,Richard,Strongly Agree,7,,Strongly Agree,7,
Shin,Hyun Song,Agree,8,,Agree,8,
Stock,James,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Strongly Agree,8,,Strongly Agree,8,
Thaler,Richard,Agree,8,,Agree,7,
Udry,Christopher,Strongly Agree,8,,Strongly Agree,9,Both of these are vital truths about trade & illustrate why we need both free trade & public support for those who are hurt. 
Zingales,Luigi,Did Not Answer,,,Did Not Answer,,
