Last Name,First Name,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,8,Fixed costs & market power in tech are a fact of life. But this need not correspond to simple IRS b/o duplication & business/idea stealing
Alesina,Alberto,Agree,5,
Altonji,Joseph,Agree,7,
Auerbach,Alan,Agree,3,
Autor,David,Uncertain,5,"I don't know what ""essential"" means. And ideas are rival in a market economy with a patent system. "
Baicker,Katherine,Uncertain,1,
Banerjee,Abhijit,Disagree,6,
Bertrand,Marianne,Strongly Agree,6,
Brunnermeier,Markus,Agree,8,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,
Cutler,David,Strongly Agree,6,
Deaton,Angus,Did Not Answer,,
Duffie,Darrell,Agree,3,
Edlin,Aaron,Agree,6,
Eichengreen,Barry,Agree,5,
Einav,Liran,Strongly Agree,7,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Strongly Agree,10,Spoiler alert: Anti-science is especially dumb
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Uncertain,3,"Yes, if you mean that Af(x) has increasing returns in A and x. Not restricted to market economies. Generation, copy of ideas is important."
Hart,Oliver,Agree,7,An idea is non-rival and having one requires a large upfront cost (as in discovering the cure to a disease). Increasing returns follows.
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,No Opinion,,
Hoynes,Hilary,Disagree,5,
Judd,Kenneth,Strongly Agree,8,
Kaplan,Steven,No Opinion,,
Kashyap,Anil,Agree,5,
Klenow,Pete,Strongly Agree,10,This also means large potential gains to globalization.
Levin,Jonathan,Agree,4,
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,10,One of the central insights of economics. 
Saez,Emmanuel,Agree,2,
Samuelson,Larry,Agree,8,The increasing returns created by nonrival ideas is perhaps the leading contender for explaining economic growth.  
Scheinkman,José,Strongly Agree,7,"True if we assume, as it seems natural, that doubling all rivalrous inputs doubles output."
Schmalensee,Richard,Agree,4,
Shapiro,Carl,Agree,10,"The key point is that developing an idea is a fixed cost, not that ideas are nonrival.  
Conclusion also follows if ideas do not transfer. "
Shimer,Robert,Agree,7,
Stock,James,Did Not Answer,,
Thaler,Richard,Did Not Answer,,
Udry,Christopher,Strongly Agree,1,This is the key source of improving material well-being over time; disruptive as it can be.
