Last Name,First Name,"Even without renewed Covid-19 restrictions, uncertainty about the health threat from the Omicron variant is likely to deliver a significant hit to economic activity from now through the first half of 2022.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If world vaccine supply continues to be limited, global social welfare would rise by more if those vaccines were made widely available across Africa (with support for effective delivery) rather than accelerating booster vaccinations in rich countries.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Imposing travel bans on countries where new Covid-19 variants are discovered will make it less likely that countries will reveal new variants to the rest of the world.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Uncertain,5,,Uncertain,6,Doesn't seem to only be an issue of vaccine supply at this point. ,Agree,7,
Bandiera,Oriana,Uncertain,5,,Disagree,5,,Disagree,5,
Blanchard,Olivier,Agree,7,``significant'' is too strong.  Too early to say. ,Agree,4,you are asking economists questions that they are not qualified to answer.   They will nevertheless... ,Uncertain,5,one of many potential effects.  Many of the others work the other way. 
Bloom,Nicholas,Agree,8,"It will be a hit, but not sure what ""significant"" means - i might think 0.1% to 0.5% of GDP, which is something but not huge",Uncertain,7,Depends on who is getting the vaccine - older developed country citizens tend to have co-morbidities so may benefit from boosters.,Strongly Agree,10,The travel ban on South Africa is politics trumping policy - now no country will announce a new variant for fear of getting a travel ban.
Blundell,Richard William,Agree,5,,Agree,5,,Uncertain,5,
Carletti,Elena,Disagree,4,,Agree,3,,Uncertain,3,
Danthine,Jean-Pierre,Uncertain,3,,Agree,3,,Agree,3,
De Grauwe,Paul,Uncertain,5,There is still so much uncertainty about the nature of omicron that very little can be said about its implications for the economy,Agree,8,a  no brainer,Uncertain,5,
Eeckhout,Jan,Agree,6,,Agree,7,,Uncertain,6,
Fehr,Ernst,Uncertain,2,,No Opinion,,,Strongly Agree,9,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,4,,Agree,8,"I agree, but it is not only Africa, and the effective delivery is a very important caveat.",Uncertain,5,
Galí,Jordi,Uncertain,4,,Agree,5,,Agree,4,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Uncertain,1,,Strongly Agree,1,,Agree,1,
Guerrieri,Veronica,Uncertain,9,,Agree,9,,Disagree,9,
Guiso,Luigi,Agree,6,,Uncertain,5,,Agree,4,
Guriev,Sergei,Agree,6,,Uncertain,5,,Uncertain,5,
Honohan,Patrick,Agree,1,Unless the virulence of omicron proves to be less than previous variants,Agree,1,"Yes, but ""last mile"" issues increasingly seem to be the binding constraint.",Agree,1,
Javorcik,Beata,Uncertain,2,,Strongly Agree,8,,Uncertain,1,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,4,Omicron tells us that the pandemic is here to stay for much longer. This should have significant present value effects.,Agree,4,"The if-condition in the statement is important here, for otherwise a strong production effort in Africa would have been a better response.",Disagree,4,"Viruses spread with and without travel bans, I suppose..."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,2,Not sure it will be significant & how to separate it from slow-down in activity in Europe due to rising infections even prior to new variant,Agree,3,,Agree,5,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,7,,Agree,8,,Uncertain,6,
Pagano,Marco,Agree,8,,Agree,6,,Uncertain,4,
Pastor,Lubos,Uncertain,3,Will depend on how deadly omicron will turn out to be. If benign then we should be OK. We will find out in the near future. ,Uncertain,3,,Disagree,3,Travel bans can only delay the spread.
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Uncertain,5,,Agree,5,,Uncertain,5,
Prendergast,Canice,Agree,6,,Agree,8,,Strongly Agree,9,
Propper,Carol,Agree,5,,Agree,5,The issue is effective delivery support.,Agree,5,
Rasul,Imran,Disagree,5,,Agree,7,,Agree,4,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Uncertain,6,,Uncertain,7,,Agree,4,
Repullo,Rafael,Uncertain,4,,Agree,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,,Strongly Agree,4,"the answer depends on the marginal effectiveness of a booster vs. vaccinating more people, which is a topic of immunology not economics",Strongly Agree,7,
Storesletten,Kjetil,Agree,5,,Agree,4,,Agree,3,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van Reenen,John,Agree,5,It's really hard to say as new info is still coming in. But rigth now does not look good.,Agree,8,vaccine rates very low in some African countries,Uncertain,5,
Vickers,John,Uncertain,3,,Agree,3,,Uncertain,3,
Voth,Hans-Joachim,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,8,"Today, we don't know enough to make predictions even for the next few weeks.",Uncertain,8,"There are widespread reports that people are opposed to vaccination. There is no shortage of vaccines in South Africa, for instance.",Uncertain,7,Could be. But few countries are equipped to detect variants early on and most of those who are equipped are unlikely to (be able to) hide. 
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
