Last Name,First Name,Selecting candidates for membership of the ECB Executive Board based primarily on nationality ahead of competence is likely to have a negative effect on the quality of monetary policy in the Eurozone.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Although the central bank can never be an entirely technocratic institution, the selection process for the ECB President and members of the Executive Board is significantly worsened by intergovernmental trade-offs involving appointments to other European institutions.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,"Competence is clearly extremely important.  However, in a severe Eurozone crisis understanding key countries' position may also be important",Uncertain,6,"If all the positions were held by male northern Europeans, it would not be good for the democratic legitimacy of the Union.  "
Antras,Pol,Agree,8,Though some geographical diversity in the Board is certainly a desirable goal.,Agree,1,
Bénassy-Quéré,Agnès,Agree,8,,Agree,8,
Besley,Timothy J.,Disagree,8,,Agree,8,
Blanchard,Olivier,Agree,9,,Agree,9,
Bloom,Nicholas,Strongly Agree,10,Barcelona does not pick its team based on being born in Barcelona - if it did it would not win anything. The ECB should also pick the best.,Strongly Agree,8,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Agree,8,,Agree,6,
Danthine,Jean-Pierre,Agree,9,,Strongly Agree,9,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,9,,Agree,9,
Fehr,Ernst,Agree,7,,Agree,8,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,8,,Strongly Agree,9,
Galí,Jordi,Strongly Agree,9,It is a self-evident proposition. Nationality seems as good a criterion as weight for the issue at hand.,Strongly Agree,8,"This is just an additional proof that, whether we like it or not, the EU is little more than intergovernmental agreement."
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Strongly Agree,10,,Strongly Agree,10,
Griffith,Rachel,Strongly Agree,6,,Agree,6,
Guerrieri,Veronica,Agree,7,,Agree,7,
Guiso,Luigi,Strongly Agree,10,,Agree,8,
Honohan,Patrick,Did Not Answer,,,Did Not Answer,,
Javorcik,Beata,Agree,8,,Agree,9,
Kőszegi,Botond,No Opinion,,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,6,"Yes, a negative influence is possible because national elctorates may believe ""their"" agent will bias his/her decisions. ",Disagree,6,"The phrase overstates the effective influence of trade-offs. An appointment balance may help to achieve mutual recognition, given quality."
Krusell,Per,Agree,8,To maintain broad support among euro member countries representativeness may also be relevant. ,Agree,8,
La Ferrara,Eliana,Agree,4,,Agree,4,
Leuz,Christian,Agree,5,Constraining the choice set should have weakly negative effects. ,Uncertain,5,Again hard to see how such trade offs should not have weakly negative effects. But not sure that it is significantly negative. 
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,7,"""Competence"" should be interpreted broadly: commanding academic respect but also with personal, political and administrative skills",Uncertain,6,The track record to date is not bad. Hopefully this will continue. It would clearly be worrying if the post became totally politicized.
O'Rourke,Kevin,Strongly Agree,10,,Strongly Agree,10,
Pagano,Marco,Strongly Agree,9,,Strongly Agree,7,
Pastor,Lubos,Uncertain,9,"Ignoring nationality could undermine ECB’s democratic legitimacy in voters’ eyes, which could eventually jeopardize ECB’s independence.",Uncertain,9,"Ignoring nationality could undermine ECB’s democratic legitimacy. Also, most countries have someone who could do a good job leading the ECB."
Persson,Torsten,Agree,6,,Agree,6,
Pissarides,Christopher,Strongly Agree,10,Using nationality as a selection criterion is silly. Competence in monetary policy has nothing to do with nationality ,Agree,8,"Although the best person should always be selected, having many key institutions headed by the same nationality is fraught with dangers "
Portes,Richard,Strongly Agree,10,Look at current and past Executive Boards!,Strongly Agree,10,Look at current horse-trading!
Prendergast,Canice,Agree,9,,Uncertain,7,
Reichlin,Lucrezia,Strongly Agree,10,,Strongly Agree,10,
Repullo,Rafael,Strongly Agree,8,,Strongly Agree,8,
Rey,Hélène,Strongly Agree,9,Seems pretty obvious that competence is key.,Strongly Agree,9,
Schoar,Antoinette,Agree,8,competence and economic independence should be guiding assignment of officials.,Agree,8,
Sturm,Daniel,Agree,5,,Uncertain,5,
Van Reenen,John,Agree,8,See family firms work: choosing leaders based on connections rather than talent generally leads to disaster,Uncertain,6,
Vickers,John,Agree,8,,Agree,8,
Voth,Hans-Joachim,Agree,9,,Uncertain,6,Its been surprisingly  ok so far...
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Strongly Agree,8,ECB President is a key job and much has depended in recent years on Draghi's decisions. You need the right person for the job.,Agree,7,"""Significantly worsened"" might be over-stating it but this kind of horse trading for top jobs certainly doesn't help."
Wyplosz,Charles,Strongly Agree,9,,Strongly Agree,10,
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
