Last Name,First Name,"Loosening current licensing restrictions on the range of services that nurses, physician assistants, dental hygienists and pharmacists are permitted to perform would help patients on balance, because the additional safety risks would be small compared to the decreased costs in waiting time and fees.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,2,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,2,
Auerbach,Alan,Uncertain,3,
Autor,David,Agree,8,Lots of evidence that occupational licensing is excessive. But I cannot speak specifically about the medical profession. 
Baicker,Katherine,Agree,7,
Bertrand,Marianne,Uncertain,3,
Chetty,Raj,No Opinion,,
Chevalier,Judith,Agree,8,There is some evidence on these issues; there is less study of this than one might hope.
Currie,Janet,Agree,8,
Cutler,David,Strongly Agree,10,"The IOM has summarized all the evidence, and it shows this."
Deaton,Angus,Strongly Agree,8,
Duffie,Darrell,Uncertain,1,
Edlin,Aaron,Strongly Agree,9,Tort law is a plenty good safeguard for our safety. 
Eichengreen,Barry,Uncertain,5,
Fair,Ray,Agree,5,
Goldberg,Pinelopi,No Opinion,,"If licensing restrictions reflect training requirements, it is not clear that lowering training standards would be beneficial."
Goldin,Claudia,Strongly Agree,9,
Goolsbee,Austan,Agree,6,
Greenstone,Michael,Uncertain,3,there seems little doubt that licensing restrictions raise costs but there is only a little evidence on the safety risks.
Hall,Robert,Did Not Answer,,
Holmström,Bengt,Uncertain,3,Economic logic suggests too tight licensing because of lobbying by affected professionals.
Hoxby,Caroline,No Opinion,,This is a question to which only an economist in the field would know the best answer.  Knowing what one knows is the essence of expertise.
Judd,Kenneth,Did Not Answer,,
Kashyap,Anil,Agree,7,"Everywhere else in the world people without the title ""doctor"" seem to be able to do more, seems like we should move in this way too.   "
Klenow,Pete,Agree,3,
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,No Opinion,,
Nordhaus,William,Disagree,7,"Finding the right balance is difficult, but a wholesale ban on licensing would on net confuse patients are probably be a net loss."
Obstfeld,Maurice,Agree,3,
Rouse,Cecilia,Did Not Answer,,
Saez,Emmanuel,Uncertain,2,
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Strongly Agree,7,This is surely true for a small relaxation; for a very large relaxation risks would surely outweigh benefits.
Shin,Hyun Song,Agree,7,
Stock,James,Did Not Answer,,
Stokey,Nancy,Agree,5,There are surely some restrictions that could be loosened.  Agreeing on which ones they are might be harder.  
Thaler,Richard,Agree,6,Pharmacists must be the most underemployed professionals. Lots of schooling to count pills. In France they actually do stuff.
Udry,Christopher,Strongly Agree,8,"A sensible approach in many cases is certification, which provides information, increases choice, and reduces costs."
Zingales,Luigi,Agree,3,
