Last Name,First Name,"The European Union's AI Act was approved by the European Parliament in March 2024: https://artificialintelligenceact.eu/the-act/


The EU's legislation to regulate artificial intelligence is likely to put European technology firms at a substantial disadvantage to their competitors elsewhere in the world.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"By providing a clear set of rules, the EU's legislation on artificial intelligence is likely to enhance research and innovation by firms building the new technology.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,"Location is not particularly important when it comes to developing new types of AI so if it is easier to do in one place than another, that's where it will occur.",Disagree,4,It's very difficult to write a clear set of rules for something that is novel and as dynamic as AI.
Antras,Pol,No Opinion,,,No Opinion,,
Bénassy-Quéré,Agnès,Uncertain,2,"Maybe more difficult in the short term but more sustainable in the medium to long term, which raises the issue of hysteresis. Copyright legislation is likely to be a key issue.",Agree,2,
Blanchard,Olivier,Uncertain,3,having read (part) of the regulation:  the complexity of the tasks needed to satisfy the regulation may lead some entrepreneurs to move outside the EU.  ,Uncertain,3,this is the other side of the coin.  a measure with costs and benefits... 
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Disagree,7,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Uncertain,5,,Uncertain,6,
Eeckhout,Jan,Disagree,7,"Following the ""California effect"" (tech firms adopt CA regulation for the entire US or even worldwide), there is likely to be the ""Brussels effect"": tech firms may well adopt EU regulation globally",Agree,8,A huge risk for investment in AI is policy risk. Delayed or haphazard regulation is worse for the tech industry than the EU AI act
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,4,,Uncertain,4,
Galí,Jordi,No Opinion,,,No Opinion,,
Garicano,Luis,Uncertain,7,"The lAI act certainly increases compliance costs. This is a minus. But it also provides incentives for open source and transparency, which could facilitate catch up. The balance is probably negative.",Disagree,7,"There is little question that, in areas defined as harmful, including e.g. cars and large LLMs (size is a measure of risk in the legislation for GenAI models) the regulatory and compliance burden is larger and hence research and innovation will decrease."
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Uncertain,5,,Uncertain,5,
Guiso,Luigi,Uncertain,6,,Agree,6,
Guriev,Sergei,Uncertain,5,,Uncertain,5,
Honohan,Patrick,Disagree,1,Is this what will hold them back? I doubt it.,Uncertain,1,It's not evident that the rules are yet clear
Javorcik,Beata,Uncertain,1,,Agree,4,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,3,"The rules of the AI Act apply to all developers who intend to become active in Europe, no matter where they are located and whether they are final or intermediate product.",Agree,4,"Other countries, nota by US, may follow suit with similar rules at some point. So, following these rules will likely be the rational strategy for all AI companies - which means that European developers are not at a distinct disadvantage or an advantage either. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,3,"Constraining EU firms when competitors are unconstrained is a disadvantage. But how substantial it is depends also on what other countries do, hence uncertain. Even if EU firms are disadvantaged, restrictions can be right if activity has substantial externalities or risks. ",Agree,3,"Providing a clear set of rules removes regulatory uncertainty, which should promote development of AI systems, but only of those that fall within the rules. It also constrains certain developments & innovations, which again can be appropriate depending on externalities and risks"
Mayer,Thierry,Strongly Disagree,6,,Agree,6,
Meghir,Costas,Uncertain,7,,Agree,9,
Pagano,Marco,Disagree,2,,Agree,2,
Pastor,Lubos,No Opinion,,,No Opinion,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,3,,Disagree,3,
Prendergast,Canice,Disagree,5,,Uncertain,5,
Propper,Carol,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,No Opinion,,,No Opinion,,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Agree,5,,Uncertain,3,
Sturm,Daniel,Disagree,5,,Uncertain,5,
Tenreyro,Silvana,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Uncertain,3,,Agree,6,
Van Reenen,John,Disagree,7,,Agree,4,
Vickers,John,Uncertain,4,,Uncertain,4,
Voth,Hans-Joachim,Strongly Agree,10,,Strongly Disagree,9,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,2,,Uncertain,2,
