Last Name,First Name,The introduction of natural experiments to economic analysis of the labor market and related areas has led to a more precise understanding of cause and effect.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"The ‘credibility revolution’ in empirical economics has improved our understanding of a number of public policy issues, including education, immigration and the minimum wage.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"In pursuit of credible research designs, researchers often seek good answers instead of good questions.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,6,"As long as the natural experiment is well designed, these studies have the potential to increase our knowledge.",Agree,6,Identifying causation is a difficult problem but some progress has been made in a number of areas in recent years.,Agree,6,"Unfortunately, there is some truth in this statement. It's difficult to identify good natural experiments for many questions."
Antras,Pol,Agree,1,,Agree,8,,Uncertain,5,"I don't know what's meant by ""good"". I see a trade-off between credibility and generality (or external validity), but questions aren't ""bad"""
Bandiera,Oriana,Agree,9,,Agree,9,,Uncertain,9,"I agree that some researchers do this but you can't blame the method, it's like saying knives are bad because people use them to hurt others"
Blanchard,Olivier,Agree,8,,Agree,7,,Uncertain,7,The initial phase was indeed good answers.  But we have moved over time to good questions.  
Bloom,Nicholas,Strongly Agree,8,,Strongly Agree,10,"The research on the minimum wage has been pathbreaking - I absolutely changed my mind based on the evidence, and it has driven policy.",Agree,10,"There is a trade-off between the quality of the question and the quality of the answer, but as long as we are on the frontier all is good."
Blundell,Richard William,Agree,7,,Strongly Agree,8,,Uncertain,5,
Carletti,Elena,No Opinion,,,Agree,3,,Agree,6,
Danthine,Jean-Pierre,Strongly Agree,5,,Strongly Agree,5,,Uncertain,5,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Strongly Agree,7,,Strongly Agree,7,,Agree,6,
Fehr,Ernst,Strongly Agree,8,,Strongly Agree,8,,Agree,6,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,10,,Agree,10,,Agree,6,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Strongly Agree,10,,Strongly Agree,10,,Disagree,10,
Guerrieri,Veronica,Strongly Agree,6,,Agree,6,,Uncertain,6,
Guiso,Luigi,Strongly Agree,6,,Strongly Agree,7,,Strongly Agree,7,There is indeed a risk that the method drives the question and the risk is already real  
Guriev,Sergei,Strongly Agree,9,,Agree,8,,Agree,6,
Honohan,Patrick,Agree,3,"Although, as with randomized control trials, the evidence often comes from particular contexts that may not be generalizable  ",Agree,3,,Uncertain,3,"If poorly addressed, even good questions can elicit bad answers."
Javorcik,Beata,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Kőszegi,Botond,Strongly Agree,10,,Strongly Agree,10,,Agree,6,
Krahnen,Jan Pieter,Strongly Agree,7,"Using natural experiments is an intelligent way to build causal inference on the diversity of institutions, shocks and behavior.",Agree,5,,Disagree,5,
La Ferrara,Eliana,Strongly Agree,10,,Strongly Agree,10,,Uncertain,10,
Leuz,Christian,Agree,8,"Agree but not only in labor and micro, but also many other applied fields like finance and accounting.",Agree,6,"For policy, causal inferences are critical so need credible designs. In many areas, still far from real evidence-based policy making.",Uncertain,6,"While this tendency can be observed, I am uncertain about distortions from it. On net, emphasis on credible designs has moved us forward."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,9,Use of natural experiments without models relies on behavioral assumptions that are often unstated. Me learn little about mechanisms,Agree,8,There has been increased emphasis on justifying sources of exogenous variation in both structural and quasi experimental studies.,Uncertain,8,
Pagano,Marco,Agree,8,,Agree,7,,Strongly Agree,8,
Pastor,Lubos,Strongly Agree,5,,Strongly Agree,1,,Strongly Agree,5,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,4,,Agree,5,,Agree,5,
Prendergast,Canice,Strongly Agree,8,,Agree,8,,Agree,8,
Propper,Carol,Strongly Agree,7,,Strongly Agree,7,,Strongly Agree,7,
Rasul,Imran,Strongly Agree,9,,Strongly Agree,9,,Disagree,5,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Strongly Agree,9,"As explained by Nobel prize committee in its, as usual, very useful report.",Strongly Agree,8,"Definitely improved. Of course, one would hope that progress had been even larger and more decisive. But no doubts on the sign of progress.",Uncertain,7,"Within set of good answers, they pick the better questions. Researchers trade off the two, unclear that they do so sub-optimally."
Repullo,Rafael,Strongly Agree,6,,Agree,6,,No Opinion,,
Rey,Hélène,Agree,8,,Agree,8,,Agree,7,
Schoar,Antoinette,Strongly Agree,9,,Agree,9,policy evaluation is complex and we need to draw on as many methods as possible for  progress. But the credibility revolution is a key tool,Agree,8,"I believe that methods can indeed shape the questions researchers ask. But this is true for all tools, including structural estimation etc."
Storesletten,Kjetil,Strongly Agree,7,,Strongly Agree,7,,Uncertain,3,
Sturm,Daniel,Strongly Agree,10,,Strongly Agree,10,,Uncertain,8,
Van Reenen,John,Strongly Agree,9,,Strongly Agree,8,,Disagree,6,
Vickers,John,Agree,4,,Agree,4,,Uncertain,4,
Voth,Hans-Joachim,Agree,8,,Agree,8,,Uncertain,5,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,3,,Agree,3,,Strongly Agree,5,
Zilibotti,Fabrizio,Agree,8,,Agree,8,,Agree,10,
