Last Name,First Name,"If public school students had the option of taking the government money (local, state, federal) currently being spent on their own education and turning that money into vouchers that they could use towards covering the costs of any private school or public school of their choice (e.g. charter schools), most would be better off.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"The main drawback to allowing all public school students to take the government money (local, state, federal) currently being spent on their own education and turning that money into vouchers that they
could use towards covering the costs of any private school or public school of their choice (e.g. charter schools) would be that some students would not make an active choice and would be left with much worse peers and a weaker school.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,5,"Too much uncertainty about equilibrium effects, though it is clear that public schools are failing and alternatives are necessary.",Agree,5,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Uncertain,8,The evidence on whether private schools and public schools outperform public schools is mixed. Students could avoid the worst schools.,Disagree,1,Evidence for charter schools and for private schools in the U.S.suggests that the cream skimming problem is manageable. 
Auerbach,Alan,Uncertain,5,,Uncertain,5,
Autor,David,Uncertain,6,Worry: only families willing to supplement the public subsidy would get excellent education for their kids. This is what happens in Chile.,Disagree,6,That's one drawback but not necessarily the main one. I'm worried about equilibrium quality of schools that don't charge top-ups.
Baicker,Katherine,Uncertain,4,,Uncertain,4,
Bertrand,Marianne,Agree,2,,Agree,2,
Chetty,Raj,Uncertain,6,,Agree,6,
Chevalier,Judith,Agree,8,,Agree,8,
Currie,Janet,Uncertain,7,"Not clear what the general eq. effects might be, especially if parents have difficulty assessing the quality of new schools.",Agree,7,
Cutler,David,Agree,4,,Agree,5,"There are other possible drawbacks, but this is a large one."
Deaton,Angus,Disagree,6,,Agree,3,
Duffie,Darrell,Uncertain,2,"For me, this is a complex subject, ripe with costs and benefits. I hope others have done the research necessary to be confident!",Uncertain,2,"There is the stated cost, and there is the risk of poor active choices, as well as a risk of loss of social cohesion."
Edlin,Aaron,Disagree,6,For profit schools do not appear to be serving students that well. Some regulation of who can accept vouchers is desirable.,Disagree,1,Lots of parents would also make bad choices. 
Eichengreen,Barry,Uncertain,5,,Agree,5,
Fair,Ray,Agree,5,,Agree,5,
Goldberg,Pinelopi,Uncertain,6,"MANY would be better off; but I don't know if ""most"" would be better off.",Agree,6,
Goldin,Claudia,Strongly Agree,9,,Strongly Agree,9,
Goolsbee,Austan,Uncertain,6,,Disagree,7,more problematic are FCs @ pub schools they can't cover when cream skimming by start ups and the potential for good ones to be only for rich
Greenstone,Michael,Agree,6,,Agree,6,
Hall,Robert,Agree,8,But see next Q for downside for some of the most disadvantaged students,Agree,6,"Also, as in some vocational schools now, fraudulent schools might return cash under the table to parents not concerned about their kids
"
Holmström,Bengt,Agree,5,,Agree,6,The effect on mid and lower tail is hard to predict. Raising the level of the lower half is very important. Upper tail overemphasized in US.
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Did Not Answer,,,Did Not Answer,,
Kashyap,Anil,Agree,7,Competitive pressure on bad schools to improve and the ability for some students to escape them would be valuable.  ,Strongly Agree,5,"I see this as the main cost; it is not clear how long people would be trapped, but initially at least some undoubtedly would be worse off.  "
Klenow,Pete,Agree,3,,Agree,3,
Lazear,Edward,Agree,7,"The main disadvantage to vouchers is potential weakening of public schools. But those that would lose students are terrible already. 
",Disagree,6,"Those most likely to be hurt are already in terrible schools.  There are some others who might also be hurt, but probably not by much."
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Agree,7,,Agree,7,
Nordhaus,William,No Opinion,,,No Opinion,,
Obstfeld,Maurice,Uncertain,4,,Uncertain,4,This is one major cost but others are possible and it is unclear how to quantify them.
Rouse,Cecilia,Did Not Answer,,,Did Not Answer,,
Saez,Emmanuel,Uncertain,5,,Agree,5,
Scheinkman,José,Agree,7,,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,7,,Agree,4,"I am sure that is a drawback, but am less sure that it is the main one."
Shin,Hyun Song,Uncertain,6,,Agree,6,
Stock,James,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Agree,6,,Uncertain,1,
Thaler,Richard,Agree,3,,Agree,5,This problem is made worse if schools can be selective 
Udry,Christopher,Agree,4,,Agree,5,
Zingales,Luigi,Agree,4,,Agree,7,Problem can be solved with vouchers that incentivate good schools to  search and enroll underpivileged kids
