Last Name,First Name,The market power of ticket-selling intermediaries leads to consumers who ultimately attend the music events paying substantially more and producers receiving substantially less than they would if the intermediary sector were more competitive.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The present system of initial ticket selling and reselling through secondary ticket intermediaries often leads to large transfers between different groups of ticket buyers that could be partially captured by artists through higher initial ticket prices.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Artists set prices at less than market-clearing levels in an effort to provide access for fans with modest incomes.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,2,,Agree,2,,Uncertain,2,"Many factors affect artists' pricing decisions, and there is probably considerable heterogeneity in their priorities."
Altonji,Joseph,Agree,3,,Agree,3,,Agree,3,
Auerbach,Alan,Agree,5,,Strongly Agree,5,,Agree,3,
Autor,David,Agree,7,There may be some optimal underpricing to generate 'buzz' as per the interesting work of Alex Imas. But the bots-buy-the-tix-and-then price-gouge equilibrium that we're in is bad for everyone but scalpers. ,Agree,7,There may be some optimal underpricing to generate 'buzz' as per the interesting work of Alex Imas. But the bots-buy-the-tix-and-then price-gouge equilibrium that we're in is bad for everyone but scalpers. ,Uncertain,6,"That's what the artists say, and it may even be what they intend, but it's not what happens, so it's hard to explain why they keep saying and doing this. There ought to be a better mechanism that preserves some low price tix for direct access by fans."
Baicker,Katherine,Agree,3,,Agree,3,,Uncertain,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Agree,6,,Agree,3,,Agree,3,
Brunnermeier,Markus,Agree,3,,Agree,6,,Uncertain,3,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,5,,Strongly Agree,9,,Uncertain,6,Prices are often set at less than market-clearing levels and that appears to sometimes be at the direction of the artist. The reasons why may be more complex than stated. 
Cutler,David,Agree,4,,Agree,2,,Agree,5,
Deaton,Angus,Agree,5,,Uncertain,3,,No Opinion,,
Duffie,Darrell,Agree,1,,Agree,1,,Agree,1,
Edlin,Aaron,Agree,6,,Agree,7,,Uncertain,5,
Eichengreen,Barry,Agree,5,,Agree,5,,Uncertain,5,"The ""with modest incomes"" part is uncertain."
Einav,Liran,Uncertain,1,,Agree,1,,Agree,1,
Fair,Ray,Uncertain,5,,Agree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,,Agree,5,,Agree,5,
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Agree,4,,Strongly Agree,8,,Uncertain,2,"there are surely many reasons........including social norms about what is ""fair"""
Hall,Robert,No Opinion,,,No Opinion,,,No Opinion,,
Hart,Oliver,Agree,6,,Agree,8,,Uncertain,1,Some artists do but many do not.
Holmström,Bengt,Agree,6,,Agree,6,,Disagree,4,"Some do, most don’t is my impression"
Hoxby,Caroline,Agree,5,,Agree,2,,No Opinion,,
Hoynes,Hilary,Agree,5,,No Opinion,,,No Opinion,,
Judd,Kenneth,Uncertain,5,"What is keeping out entry? Merely selling tickets is something many websites do. The market power may lie with Live Nation Entertainment, its parent company, which provides many services related to concert promotion.",Agree,7,,Strongly Agree,8,Artists need the energy of an active audience. I can afford higher prices to the concerts I attend but I just sit there and observe the performance. No screaming. Occasional applause. I would not want to be a performer and have an audience of only people like me. 
Kaplan,Steven,Uncertain,1,,Agree,5,,Agree,7,
Kashyap,Anil,Agree,5,,Agree,5,"Look at how much better the system that Lin Manuel Miranda used in London works.  No resales permitted (need to show id to attend that matches credit card that bought the ticket), but full rebates offered if you can't make it.  ",Uncertain,3,"Maybe, but maybe the free publicity from the scramble to get the scarce tix is the motivator? "
Klenow,Pete,Agree,2,,Agree,2,,Agree,1,
Levin,Jonathan,Uncertain,5,,Agree,5,,Agree,7,
Maskin,Eric,Agree,5,,No Opinion,,,No Opinion,,
Nordhaus,William,Uncertain,1,,Uncertain,1,,Uncertain,1,
Obstfeld,Maurice,Agree,1,,Agree,1,,Uncertain,1,
Saez,Emmanuel,Agree,3,,Agree,3,,Agree,5,
Samuelson,Larry,Agree,6,What is most clear is that the intermediaries capture a large chunk of surplus; at a cost to at least one side of the market but it is harder to say whether this comes primarily at the cost of consumers or producers.,Agree,8,Market-clearing prices would allow produces to capture much of the surplus.,Agree,6,"There may be other reasons, including the publicity generated by frenzied ticket sales."
Scheinkman,José,Uncertain,4,,Agree,6,"See Connolly and Krueger ""Rockonomics"" (NBER, 2005)",No Opinion,,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Shapiro,Carl,Agree,8,,Agree,9,,Strongly Agree,9,
Shimer,Robert,Agree,1,,Agree,7,,Agree,7,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Agree,4,,Uncertain,3,,Agree,4,Artists want at least some fans who are young and enthusiastic.  Such fans do not always have the highest WTP.  
Udry,Christopher,Strongly Agree,5,,Agree,6,,Agree,5,I am sure there are multiple reasons; this is among them for some artists.
