Last Name,First Name,"Because the U.S. Treasury bailed out and backstopped banks (by injecting equity into them in late 2008, and later committing to provide public capital to any banks that failed the stress tests and could not raise private capital), the U.S. unemployment rate was lower at the end of 2010 than it would have been without these measures.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,
Alesina,Alberto,Agree,3,
Altonji,Joseph,Strongly Agree,8,
Auerbach,Alan,Agree,7,
Autor,David,Agree,7,
Baicker,Katherine,Agree,5,
Bertrand,Marianne,Agree,3,
Chetty,Raj,Agree,6,
Chevalier,Judith,Agree,7,
Currie,Janet,Agree,6,
Cutler,David,Agree,5,
Deaton,Angus,Agree,6,
Duffie,Darrell,Strongly Agree,9,"Macro performance depends partly on credit from banks, which would have otherwise been impaired. Europe has a related growth issue now,"
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,5,
Fair,Ray,Agree,7,
Goldberg,Pinelopi,Agree,6,"If the banking system had collapsed, unemployment would certainly have been higher in 2010."
Goldin,Claudia,Uncertain,2,
Goolsbee,Austan,Strongly Agree,10,the fact it was necessary doesn't mean we should be happy about it
Greenstone,Michael,Strongly Agree,7,There is some strong evidence that the lending channel is real.  See the below link. 
Hall,Robert,Agree,6,"There were much better policies, but what was done was better than nothing, give the bad policies that preceded."
Holmström,Bengt,Strongly Agree,9,Without Fed intervention the banking system would have collapsed.
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Did Not Answer,,
Kashyap,Anil,Strongly Agree,10,"They could have been tougher on pay and dividends, but just look across the pond to see a much worse alternative way of proceeding.   "
Klenow,Pete,Uncertain,3,"The Fed would have purchased more private assets without TARP, and  who knows what the Fed/Congress would have tried instead."
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,8,
Nordhaus,William,Strongly Agree,8,
Obstfeld,Maurice,Agree,4,"This statement reflects my best judgment, based on a  range of macroeconomic literature, but it would be difficult to prove beyond a doubt."
Rouse,Cecilia,Agree,5,
Saez,Emmanuel,Strongly Agree,6,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,8,It is hard to imagine the mess we would still be in if most of our large banks had failed.
Shin,Hyun Song,Strongly Agree,9,
Stock,James,Agree,7,
Stokey,Nancy,Strongly Agree,9,See Ch 7 of Friedman & Schwartz's Monetary History.  It's fortunate we had a Central Banker who'd read it and had the courage to act on it.
Thaler,Richard,Agree,3,Not my area but it seems like it had to have helped.
Udry,Christopher,Agree,1,
Zingales,Luigi,Agree,5,"The question presumes Paulson’s forced alternative. If the only choice is between evil and Armageddon, evil might look ok."
