Last Name,First Name,The current combination of US fiscal and monetary policy poses a serious risk of prolonged higher inflation.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Current EU and national fiscal policy plans are likely to leave European output below potential a year from now.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,,,
Allen,Franklin,Uncertain,5,"I think there's a lot of uncertainty about the answer to this question. There could be prolonged inflation, but also it could be temporary.",Uncertain,4,Difficult to say again. There is likely to be significant heterogeneity across countries.,,,
Antras,Pol,Strongly Agree,7,There is a growing chance of a serious inflationary spiral. That it has not happened in a long time does not mean it may not happen now.,Uncertain,5,,,,
Bandiera,Oriana,Did Not Answer,,,Did Not Answer,,,,,
Blanchard,Olivier,Agree,8,"I object to ``serious''.  I believe it is more likely to lead to a stronger reaction of the Fed than currently assumed, and higher rates.  ",Uncertain,8,"probably, based on existing plans.  But a number of countries are likely to do more if it looks like it is needed.  ",,,
Bloom,Nicholas,Uncertain,7,,Uncertain,7,,,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,,,,
De Grauwe,Paul,Disagree,6,,Agree,7,,,,
Eeckhout,Jan,Agree,6,,Uncertain,6,,,,
Fehr,Ernst,Uncertain,6,,Agree,6,,,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,,,
Fuchs-Schündeln,Nicola,Uncertain,4,,Uncertain,4,I would be more worried that the spending plans are not targeted enough towards increasing growth in the medium-term future. ,,,
Galí,Jordi,Uncertain,8,The risk may be real if the full fiscal plan is enacted and the Fed did not adjust its policy in response. This is unlikely in my opinion,Disagree,8,Both monetary policy and fiscal policy seem accomodative enough to attain potential.,,,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,,,
Griffith,Rachel,No Opinion,,,No Opinion,,,,,
Guerrieri,Veronica,Disagree,8,,Agree,8,,,,
Guiso,Luigi,Disagree,7,,Strongly Disagree,8,,,,
Guriev,Sergei,Uncertain,5,,Agree,6,,,,
Honohan,Patrick,Disagree,5,Policy seems a bit too lax but Fed has tools can & likely will be used to prevent sustained inflation escaping if that risk materializes. ,Agree,7,,,,
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,,,
Kőszegi,Botond,No Opinion,,,No Opinion,,,,,
Krahnen,Jan Pieter,Agree,3,The economy is near full capacity which is the time when a slow inflationary process may accelerate unless Fed policy does not counteract.,Disagree,4,"Private investments are increasing these days, with a good chance of reducing the so-called output gap to a low value, a year from now.",,,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,,,
Leuz,Christian,Uncertain,1,,Uncertain,1,,,,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,,,
Meghir,Costas,Disagree,7,,Agree,8,,,,
Pagano,Marco,Uncertain,6,It depends on how long these policies are pursued.,Uncertain,6,It very much depends on which country in Europe you think of.,,,
Pastor,Lubos,Agree,8,,Uncertain,8,,,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,,,
Portes,Richard,Strongly Disagree,10,Current inflation is a combination of base effects and very specific supply constraints which will vanish. Labour market not stressed.,Strongly Agree,8,Legacy of foolish fiscal austerity ,,,
Prendergast,Canice,Agree,6,,Uncertain,6,,,,
Propper,Carol,No Opinion,,,No Opinion,,,,,
Rasul,Imran,Uncertain,5,,Disagree,5,,,,
Reichlin,Lucrezia,Disagree,8,,Agree,8,,,,
Reis,Ricardo,Agree,8,I put the odds of inflation above 4% on average 5y5y at 10-15%. That is too high.,Uncertain,8,"Still hard to gauge what is potential post pandemic (e.g., in tourism, which is a big share of Europe GDP)",,,
Repullo,Rafael,Disagree,4,,Agree,4,,,,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,,,
Schoar,Antoinette,Agree,8,,Uncertain,7,,,,
Storesletten,Kjetil,Did Not Answer,,,Did Not Answer,,,,,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,,,
Van Reenen,John,Disagree,8,,Agree,7,,,,
Vickers,John,Agree,5,,Uncertain,4,,,,
Voth,Hans-Joachim,Uncertain,5,,Uncertain,5,,,,
Whelan,Karl,Disagree,8,Fiscal policy stimulus is set to end soon. Monetary policy has lots of room to tighten to reduce excess demand.,Strongly Agree,8,Substantially smaller fiscal impetus than in the US and this will have implications for the scale of the recovery.,,,
Wyplosz,Charles,Agree,9,"It is not a certainty, but high probabiilty. But this not a ""risk"", many of us would welcome escaping the very low inflation situation. ",Agree,9,Monetary policy is about useless and post-Covid fiscal policies are not up to the challenge. ,,,
Zilibotti,Fabrizio,Uncertain,6,,Disagree,5,,,,
,,,,,,,,,,
